Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,28-240,1996,7.0,12,1,0,2,0,8.4,0.24,-3.6,-0.52,31,123,25.2,140,16,54.3,41.3,55,85.5,57.6,101,5,5.0,4,0.57,11.2
Florian Müller,GER,GK,Freiburg,Bundesliga,26-339,1997,2.0,3,1,0,1,0,2.5,0.35,-0.5,-0.27,7,38,18.4,60,3,46.7,37.8,13,76.9,57.9,26,0,0.0,1,0.50,13.8
Kevin Müller,GER,GK,Heidenheim,Bundesliga,33-216,1991,6.0,8,1,0,0,0,6.3,0.32,-1.7,-0.29,33,89,37.1,180,27,33.9,35.0,51,54.9,46.6,100,4,4.0,4,0.67,13.4
Arijanet Muric,KVX,GK,Ipswich Town,Premier League,25-345,1998,6.0,12,1,0,0,0,12.4,0.36,+0.4,+0.07,20,57,35.1,180,34,22.2,27.1,25,68.0,52.8,76,13,17.1,5,0.83,12.7
Juan Musso,ARG,GK,Atalanta,Serie A,30-164,1994,1.0,0,0,0,0,0,0.7,0.19,+0.7,+0.74,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,1.00,17.5
Juan Musso,ARG,GK,Atlético Madrid,La Liga,30-164,1994,1.0,0,0,0,0,0,0.1,0.08,+0.1,+0.08,0,5,0.0,17,5,17.6,26.6,11,18.2,24.6,10,1,10.0,0,0.00,13.5
Neto,BRA,GK,Bournemouth,Premier League,35-090,1989,2.0,2,0,0,0,0,4.3,0.35,+2.3,+1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.50,12.6
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,38-204,1986,5.0,7,1,0,1,0,4.2,0.27,-2.8,-0.56,16,39,41.0,239,24,15.9,24.9,6,16.7,24.8,32,1,3.1,14,2.80,26.9
Moritz Nicolas,GER,GK,Gladbach,Bundesliga,26-362,1997,3.0,4,0,0,1,0,3.6,0.33,-0.4,-0.12,10,18,55.6,121,24,13.2,24.7,15,13.3,30.7,45,3,6.7,4,1.33,17.4
Alexander Nübel,GER,GK,Stuttgart,Bundesliga,28-017,1996,6.0,11,1,0,1,0,9.3,0.32,-1.7,-0.29,25,62,40.3,236,29,24.6,29.1,14,28.6,32.3,56,2,3.6,8,1.33,19.7
Ørjan Nyland,NOR,GK,Sevilla,La Liga,34-037,1990,9.0,10,1,0,0,1,8.7,0.21,-0.3,-0.04,34,136,25.0,271,29,41.3,36.5,49,49.0,42.2,129,6,4.7,8,0.89,14.0
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,31-284,1993,8.0,5,0,0,0,1,5.3,0.19,+1.3,+0.16,22,61,36.1,149,34,22.8,30.3,63,42.9,39.8,112,3,2.7,4,0.50,12.9
Maduka Okoye,NGA,GK,Udinese,Serie A,25-050,1999,7.0,10,2,0,1,0,10.2,0.24,+0.2,+0.03,37,85,43.5,203,20,31.5,30.3,33,63.6,48.6,109,4,3.7,3,0.43,11.8
Jonas Omlin,SUI,GK,Gladbach,Bundesliga,30-281,1994,3.0,6,0,0,1,0,6.0,0.25,0.0,-0.01,23,45,51.1,135,10,28.1,30.2,11,63.6,47.3,35,0,0.0,3,1.00,17.8
André Onana,CMR,GK,Manchester Utd,Premier League,28-198,1996,7.0,8,0,0,2,0,11.1,0.39,+3.1,+0.45,27,77,35.1,275,39,23.6,27.0,19,63.2,46.9,74,4,5.4,9,1.29,15.4
Alex Padilla,ESP,GK,Athletic Club,La Liga,21-046,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4
Alberto Paleari,ITA,GK,Torino,Serie A,32-049,1992,1.0,3,0,0,0,0,2.2,0.32,-0.8,-0.77,8,12,66.7,26,5,34.6,31.0,6,50.0,42.0,12,0,0.0,5,5.00,27.3
Iñaki Peña,ESP,GK,Barcelona,La Liga,25-229,1999,3.5,4,1,0,0,0,3.5,0.29,-0.5,-0.13,10,27,37.0,139,17,13.7,25.8,23,34.8,33.3,38,0,0.0,18,5.13,21.7
Mattia Perin,ITA,GK,Juventus,Serie A,31-342,1992,2.0,0,0,0,0,0,1.3,0.26,+1.3,+0.64,2,11,18.2,58,10,19.0,28.3,3,0.0,19.7,14,0,0.0,2,1.00,20.0
Lucas Perri,BRA,GK,Lyon,Ligue 1,26-312,1997,7.0,12,0,1,1,0,13.3,0.33,+1.3,+0.18,20,74,27.0,178,38,34.3,33.0,35,37.1,39.0,90,8,8.9,13,1.86,16.9
Đorđe Petrović,SRB,GK,Strasbourg,Ligue 1,25-009,1999,4.0,6,1,0,0,0,4.9,0.26,-1.1,-0.26,22,72,30.6,186,7,32.3,32.7,13,92.3,60.3,73,5,6.8,2,0.50,12.0
Jordan Pickford,ENG,GK,Everton,Premier League,30-224,1994,7.0,15,0,0,3,0,12.3,0.34,-2.7,-0.38,79,173,45.7,215,23,64.2,45.9,54,64.8,49.8,116,7,6.0,17,2.43,18.1
Semuel Pizzignacco,ITA,GK,Monza,Serie A,23-046,2001,3.0,2,0,0,0,0,1.6,0.23,-0.4,-0.12,22,46,47.8,80,5,42.5,33.7,23,52.2,43.9,44,0,0.0,4,1.33,19.4
Nick Pope,ENG,GK,Newcastle Utd,Premier League,32-181,1992,7.0,7,0,0,0,1,9.2,0.26,+3.2,+0.46,18,79,22.8,154,36,33.8,34.6,59,45.8,39.7,104,6,5.8,12,1.71,16.2
Ivan Provedel,ITA,GK,Lazio,Serie A,30-214,1994,7.0,11,2,0,1,0,9.3,0.31,-1.7,-0.24,32,86,37.2,217,25,37.8,35.8,14,28.6,34.1,77,9,11.7,6,0.86,11.8
Aaron Ramsdale,ENG,GK,Southampton,Premier League,26-156,1998,5.0,13,0,0,3,0,13.4,0.42,+0.4,+0.09,18,69,26.1,208,25,32.2,31.6,9,22.2,25.0,75,5,6.7,9,1.80,15.4
Federico Ravaglia,ITA,GK,Bologna,Serie A,24-341,1999,2.0,1,0,0,0,0,1.0,0.20,0.0,-0.01,5,14,35.7,51,8,21.6,28.0,9,33.3,35.4,19,3,15.8,1,0.50,12.0
David Raya,ESP,GK,Arsenal,Premier League,29-032,1995,7.0,6,0,0,1,0,5.1,0.17,-0.9,-0.13,39,113,34.5,195,23,40.0,34.6,40,87.5,58.2,84,11,13.1,7,1.00,11.5
Pepe Reina,ESP,GK,Como,Serie A,42-047,1982,3.0,5,0,0,0,0,4.3,0.33,-0.7,-0.23,9,33,27.3,85,10,35.3,32.9,7,42.9,33.7,38,1,2.6,2,0.67,15.3
Álex Remiro,ESP,GK,Real Sociedad,La Liga,29-207,1995,9.0,8,4,0,0,0,7.7,0.15,-0.3,-0.04,44,102,43.1,239,26,25.9,31.2,61,65.6,49.8,115,5,4.3,11,1.22,15.8
Guillaume Restes,FRA,GK,Toulouse,Ligue 1,19-220,2005,7.0,10,0,0,0,2,5.5,0.26,-2.5,-0.36,26,69,37.7,183,21,25.7,28.6,31,71.0,50.5,85,2,2.4,4,0.57,13.6
Leo Román,ESP,GK,Mallorca,La Liga,24-103,2000,3.0,1,0,0,0,0,2.1,0.16,+1.1,+0.36,16,50,32.0,76,4,48.7,39.6,23,56.5,51.6,50,0,0.0,0,0.00,12.0
Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,32-150,1992,7.0,8,0,1,2,0,8.5,0.24,+0.5,+0.07,23,72,31.9,238,35,22.3,26.9,34,55.9,41.4,104,8,7.7,14,2.00,17.0
Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,32-074,1992,6.0,4,0,1,0,0,4.6,0.23,+0.6,+0.11,38,98,38.8,168,28,45.8,37.9,28,75.0,55.1,85,8,9.4,3,0.50,10.0
José Sá,POR,GK,Wolves,Premier League,31-274,1993,2.0,8,0,0,1,0,4.7,0.35,-3.3,-1.65,13,36,36.1,63,3,49.2,38.3,7,71.4,47.3,19,1,5.3,5,2.50,18.5
Matvei Safonov,RUS,GK,Paris S-G,Ligue 1,25-235,1999,2.0,2,1,0,0,0,1.2,0.08,-0.8,-0.42,5,17,29.4,56,13,26.8,28.8,9,22.2,31.8,21,1,4.8,5,2.50,22.3
Brice Samba,FRA,GK,Lens,Ligue 1,30-175,1994,7.0,4,2,0,2,0,6.6,0.19,+2.6,+0.38,39,85,45.9,214,29,32.2,32.3,33,48.5,37.8,82,13,15.9,7,1.00,11.8
Robert Sánchez,ESP,GK,Chelsea,Premier League,26-334,1997,7.0,8,0,0,0,0,9.0,0.20,+1.0,+0.14,21,73,28.8,273,46,23.4,28.5,26,34.6,33.8,73,10,13.7,21,3.00,17.1
Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,21-189,2003,3.5,6,1,0,3,0,7.0,0.23,+1.0,+0.28,10,42,23.8,121,20,28.9,30.8,13,53.8,42.2,74,9,12.2,7,2.00,13.7
Simone Scuffet,ITA,GK,Cagliari,Serie A,28-139,1996,7.0,11,2,0,3,0,9.9,0.25,-1.1,-0.16,29,78,37.2,161,32,34.8,33.0,52,42.3,36.6,97,3,3.1,5,0.71,12.7
Matz Sels,BEL,GK,Nott'ham Forest,Premier League,32-234,1992,7.0,6,1,1,0,0,6.2,0.22,+0.2,+0.02,47,146,32.2,155,11,69.7,45.5,44,86.4,59.3,121,3,2.5,1,0.14,6.8
