Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Julian Renner,GER,GK,Eupen,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Bryan Reynolds,USA,DF,Westerlo,22,2001,27,"2,354",87,87.2,26.2,27,87,22,0,,0,0.91,37,47,-10,-0.38,+0.14,35.4,43.1,-7.8,-0.30,-0.12
Federico Ricca,URU,DF,OH Leuven,28,1994,17,"1,489",88,55.1,16.5,17,88,15,0,,0,1.38,18,22,-4,-0.24,+0.43,20.3,21.2,-0.9,-0.06,+0.70
Rikelmi,BRA,"MF,FW",RWD Molenbeek,21,2001,8,271,34,10.0,3.0,3,57,0,5,20,4,1.13,6,8,-2,-0.66,+0.60,6.4,4.4,+2.0,+0.66,+1.92
Mats Rits,BEL,MF,Anderlecht,30,1993,26,"2,133",82,79.0,23.7,26,82,14,0,,1,1.94,46,27,+19,+0.80,-0.63,37.3,27.8,+9.5,+0.40,+0.15
Mats Rits,BEL,MF,Club Brugge,30,1993,2,79,40,2.9,0.9,1,60,0,1,19,0,2.00,0,1,-1,-1.14,-2.31,1.5,0.4,+1.1,+1.28,+0.15
Kevin Rodríguez,ECU,FW,Union SG,23,2000,14,442,32,16.4,4.9,3,74,1,11,20,1,2.26,12,4,+8,+1.63,+0.67,11.2,3.6,+7.6,+1.55,+0.61
Davy Roef,BEL,GK,Gent,29,1994,12,"1,080",90,40.0,12.0,12,90,12,0,,14,2.23,27,9,+18,+1.50,+1.67,23.0,15.3,+7.7,+0.64,+0.68
Žan Rogelj,SVN,"DF,MF",Charleroi,23,1999,25,"2,089",84,77.4,23.2,24,85,19,1,38,4,1.17,23,40,-17,-0.73,0.00,26.6,38.0,-11.5,-0.49,-0.26
Tuur Rommens,BEL,DF,Westerlo,20,2003,16,943,59,34.9,10.5,11,81,5,5,10,4,0.71,16,22,-6,-0.57,-0.27,13.6,16.0,-2.4,-0.23,+0.08
Noé Rottiers,BEL,DF,Mechelen,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
Tom Roufosse,BEL,GK,Eupen,21,2001,0,,,,,0,,0,0,,16,,,,,,,,,,,
