Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Danielzinho,BRA,FW,Ath Paranaense,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danielzinho,BRA,MF,Fluminense,27,1996,6.8,36,5.29,31,2,2,0,1,0,1,0.15,1,0,0,0,0,0
David,BRA,"FW,MF",São Paulo,27,1995,8.1,29,3.56,20,0,4,2,2,1,2,0.25,2,0,0,0,0,0
Giorgian De Arrascaeta,URU,"MF,FW",Flamengo,28,1994,20.5,104,5.08,64,17,7,6,8,2,12,0.59,5,2,3,0,2,0
Sergio Antonio De Luiz Junior,BRA,"MF,DF",Vasco da Gama,27,1995,4.0,8,2.02,6,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Denilson,BRA,MF,Cuiabá,21,2001,21.2,89,4.20,59,12,9,4,3,2,6,0.28,5,1,0,0,0,0
Denzel,BRA,FW,Goiás,20,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Deyverson,BRA,FW,Cuiabá,31,1991,32.3,57,1.77,43,0,2,8,2,2,8,0.25,6,0,0,1,1,0
Leonel Di Plácido,ARG,DF,Botafogo (RJ),29,1994,26.2,83,3.17,56,12,9,1,1,4,7,0.27,5,1,1,0,0,0
Gabriel Dias,BRA,DF,Vasco da Gama,28,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jean Dias,BRA,"FW,MF",Internacional,32,1990,3.6,5,1.40,1,2,1,1,0,0,0,0.00,0,0,0,0,0,0
Luan Dias,BRA,"MF,FW",Santos,25,1997,2.1,2,0.94,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Matheus Dias,BRA,"MF,FW",Internacional,25,1997,4.5,9,2.00,9,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Diego,BRA,DF,São Paulo,23,1999,19.4,16,0.83,15,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Dieguinho,BRA,"DF,FW",Goiás,27,1995,12.0,37,3.09,19,7,5,3,2,1,1,0.08,1,0,0,0,0,0
Diogo,BRA,"FW,MF",Coritiba,26,1996,8.4,15,1.78,12,0,0,1,2,0,2,0.24,1,0,0,0,1,0
Dodi,BRA,MF,Santos,26,1996,19.1,16,0.84,8,4,0,1,3,0,1,0.05,0,0,0,0,1,0
Dodô,BRA,DF,Atlético Mineiro,30,1992,0.7,3,4.58,1,1,0,0,1,0,1,1.53,0,0,0,0,1,0
Dodô,BRA,DF,Santos,30,1992,15.8,27,1.70,20,5,0,2,0,0,1,0.06,0,0,0,1,0,0
Dodô,BRA,"MF,FW",Goiás,21,2001,3.6,23,6.41,10,7,1,0,4,1,0,0.00,0,0,0,0,0,0
Thiago Dombroski,BRA,DF,Coritiba,20,2002,5.6,2,0.36,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Halerrandrio dos Santos,BRA,MF,Goiás,16,2006,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thiago dos Santos,BRA,"DF,MF",Fluminense,33,1989,9.1,8,0.88,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0
