Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Bart Nieuwkoop,NED,DF,Feyenoord,27,1996,0.9,3,2,1,1,1,3,6,50.0,3,1,0,1,0,3,0,1
Saúl Ñíguez,ESP,MF,Atlético Madrid,28,1994,4.8,8,5,6,1,1,6,9,66.7,3,10,2,8,6,14,11,0
Eddie Nketiah,ENG,FW,Arsenal,24,1999,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Felix Nmecha,GER,MF,Dortmund,22,2000,3.9,8,3,3,4,1,1,7,14.3,6,2,0,2,5,13,6,0
Jean-Pierre Nsame,CMR,FW,Young Boys,30,1993,1.8,3,2,0,2,1,2,2,100.0,0,1,0,1,0,3,2,0
Matheus Nunes,POR,"MF,FW",Manchester City,24,1998,4.7,4,2,0,3,1,3,5,60.0,2,2,0,2,3,7,2,0
Ørjan Nyland,NOR,GK,Sevilla,32,1990,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Matt O'Riley,DEN,MF,Celtic,22,2000,5.4,14,8,7,6,1,9,19,47.4,10,8,1,7,7,21,10,0
Armando Obispo,NED,DF,PSV Eindhoven,24,1999,1.0,0,0,0,0,0,0,2,0.0,2,1,1,0,2,2,1,0
Jan Oblak,SVN,GK,Atlético Madrid,30,1993,10.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Lucas Ocampos,ARG,FW,Sevilla,29,1994,3.8,5,2,1,4,0,2,6,33.3,4,4,0,4,4,9,2,0
Álvaro Odriozola,ESP,"DF,FW",Real Sociedad,27,1995,1.1,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,0,0
Noah Okafor,SUI,FW,Milan,23,2000,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Olasagasti,ESP,MF,Real Sociedad,22,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Peter Olayinka,NGA,"DF,FW",Red Star,27,1995,1.9,6,4,1,3,2,1,1,100.0,0,0,0,0,1,7,2,0
Sérgio Oliveira,POR,MF,Galatasaray,31,1992,1.4,4,3,1,2,1,1,4,25.0,3,5,0,5,0,4,2,1
Mathías Olivera,URU,DF,Napoli,25,1997,3.6,13,8,9,4,0,6,9,66.7,3,4,1,3,7,20,7,0
Dani Olmo,ESP,MF,RB Leipzig,25,1998,2.0,4,1,2,2,0,1,4,25.0,3,1,0,1,0,4,2,0
André Onana,CMR,GK,Manchester Utd,27,1996,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,4
Loïs Openda,BEL,FW,RB Leipzig,23,2000,6.1,2,1,1,1,0,0,7,0.0,7,3,0,3,0,2,2,0
Fredrik Oppegard,NOR,FW,PSV Eindhoven,20,2002,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
