Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Mislav Oršić,FW,Croatia,29,Dinamo Zagreb,1992,6,1,162,1.8,1,2,3,1,0,0,0,0,0.4,0.4,1.1,1.4,10,5,15,0.56,1.11,1.67,0.56,1.67,0.23,0.68,0.90,0.23,0.90
Jonathan Osorio,"MF,FW",Canada,30,Toronto FC,1992,3,1,119,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,3,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Nicolás Otamendi,DF,Argentina,34,Benfica,1988,7,7,690,7.7,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,7,34,2,0.00,0.13,0.13,0.00,0.13,0.00,0.02,0.03,0.00,0.03
Otávio,MF,Portugal,27,Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,12,11,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22
Samuel Oum Gouet,MF,Cameroon,24,Mechelen,1997,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azzedine Ounahi,MF,Morocco,22,Angers,2000,7,6,568,6.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,16,26,19,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13
Bryan Oviedo,DF,Costa Rica,32,Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mohammed Al-Owais,GK,Saudi Arabia,30,Al-Hilal,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Pablo Vargas,DF,Costa Rica,27,Millonarios,1995,1,1,90,1.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,0,0,1.00,0.00,1.00,1.00,1.00,0.46,0.00,0.46,0.46,0.46
Exequiel Palacios,"MF,DF",Argentina,23,Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24
João Palhinha,MF,Portugal,26,Fulham,1995,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.30,0.36,0.06,0.36
Lucas Paquetá,MF,Brazil,24,West Ham,1997,4,4,314,3.5,1,1,2,1,0,0,0,0,0.8,0.8,1.5,2.3,2,20,20,0.29,0.29,0.57,0.29,0.57,0.24,0.43,0.67,0.24,0.67
Leandro Paredes,MF,Argentina,27,Juventus,1994,5,2,225,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Thomas Partey,MF,Ghana,29,Arsenal,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
Mario Pašalić,"FW,MF",Croatia,27,Atalanta,1995,7,2,271,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,4,6,14,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17
Benjamin Pavard,DF,France,26,Bayern Munich,1996,1,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Strahinja Pavlović,DF,Serbia,21,RB Salzburg,2001,3,3,235,2.6,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,17,3,0.38,0.00,0.38,0.38,0.38,0.07,0.00,0.07,0.07,0.07
Pedri,MF,Spain,19,Barcelona,2002,4,4,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,15,51,10,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22
Pedro,FW,Brazil,24,Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,5,0.00,0.00,0.00,0.00,0.00,1.39,0.00,1.39,1.39,1.39
Facundo Pellistri,"MF,FW",Uruguay,20,Manchester Utd,2001,3,2,181,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,5,20,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17
Pepe,DF,Portugal,39,Porto,1983,4,4,360,4.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,5,15,0,0.25,0.00,0.25,0.25,0.25,0.12,0.00,0.12,0.12,0.12
Danilo Pereira,DF,Portugal,30,Paris S-G,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ivan Perišić,"FW,DF",Croatia,33,Tottenham,1989,7,7,669,7.4,1,3,4,1,0,0,0,0,0.9,0.9,0.9,1.8,27,21,63,0.13,0.40,0.54,0.13,0.54,0.13,0.12,0.25,0.13,0.25
Bruno Petković,FW,Croatia,27,Dinamo Zagreb,1994,6,1,234,2.6,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.5,6,4,10,0.38,0.00,0.38,0.38,0.38,0.05,0.15,0.20,0.05,0.20
Germán Pezzella,DF,Argentina,30,Betis,1991,3,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
Kalvin Phillips,MF,England,26,Manchester City,1995,2,0,42,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,2.14,2.14,0.00,2.14,0.00,0.17,0.17,0.00,0.17
Krzysztof Piątek,FW,Poland,26,Salernitana,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Jordan Pickford,GK,England,28,Everton,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Orbelín Pineda,MF,Mexico,26,AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,4,3,0.00,0.00,0.00,0.00,0.00,0.38,0.07,0.45,0.38,0.45
Gonzalo Plata,"MF,FW",Ecuador,21,Valladolid,2000,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,7,11,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
Jackson Porozo,DF,Ecuador,21,Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Morteza Pouraliganji,DF,IR Iran,30,Persepolis,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,3,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.09,0.03,0.09
Ángelo Preciado,DF,Ecuador,24,Genk,1998,3,3,264,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,2,7,5,0.00,0.34,0.34,0.00,0.34,0.02,0.14,0.17,0.02,0.17
Christian Pulisic,"FW,MF",United States,23,Chelsea,1998,4,4,315,3.5,1,2,3,1,0,0,0,0,1.1,1.1,0.9,2.0,23,18,28,0.29,0.57,0.86,0.29,0.86,0.30,0.26,0.56,0.30,0.56
Adrien Rabiot,MF,France,27,Juventus,1995,6,5,483,5.4,1,1,2,1,0,0,1,0,1.0,1.0,0.9,1.9,10,18,18,0.19,0.19,0.37,0.19,0.37,0.19,0.16,0.36,0.19,0.36
Nemanja Radonjić,"DF,FW",Serbia,26,Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,6,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.19,0.15,0.19
Baba Rahman,DF,Ghana,27,Reading,1994,3,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Gonçalo Ramos,"FW,MF",Portugal,20,Benfica,2001,4,2,152,1.7,3,1,4,3,0,0,0,0,1.5,1.5,0.4,2.0,1,3,12,1.78,0.59,2.37,1.78,2.37,0.91,0.24,1.15,0.91,1.15
Aaron Ramsey,MF,Wales,31,Nice,1990,3,3,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,8,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Raphinha,FW,Brazil,25,Barcelona,1996,5,4,315,3.5,0,1,1,0,0,0,0,0,1.2,1.2,1.3,2.5,17,9,32,0.00,0.29,0.29,0.00,0.29,0.35,0.38,0.72,0.35,0.72
Marcus Rashford,FW,England,24,Manchester Utd,1997,5,1,140,1.6,3,0,3,3,0,0,0,0,1.6,1.6,0.0,1.6,5,4,17,1.93,0.00,1.93,1.93,1.93,1.01,0.00,1.01,1.01,1.01
David Raum,DF,Germany,24,RB Leipzig,1998,3,3,242,2.7,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,8,10,40,0.00,0.37,0.37,0.00,0.37,0.00,0.22,0.22,0.00,0.22
Bassam Al-Rawi,DF,Qatar,24,Al Duhail SC,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Tim Ream,DF,United States,34,Fulham,1987,4,4,360,4.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,20,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Djorkaeff Reasco,FW,Ecuador,23,Newell's OB,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gio Reyna,FW,United States,19,Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.28,0.38,0.10,0.38
Ramin Rezaeian,DF,IR Iran,32,Sepahan,1990,2,2,180,2.0,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.5,7,8,9,0.50,0.00,0.50,0.50,0.50,0.13,0.14,0.27,0.13,0.27
Everton Ribeiro,MF,Brazil,33,Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21
Declan Rice,MF,England,23,West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,22,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Richarlison,FW,Brazil,25,Tottenham,1997,4,4,323,3.6,3,0,3,3,0,0,0,0,2.1,2.1,1.0,3.1,5,5,17,0.84,0.00,0.84,0.84,0.84,0.59,0.27,0.86,0.59,0.86
Fabian Rieder,FW,Switzerland,20,Young Boys,2002,2,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25
Ró-Ró,DF,Qatar,31,Al Sadd,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Connor Roberts,DF,Wales,26,Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,9,10,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
Antonee Robinson,DF,United States,24,Fulham,1997,4,4,359,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,18,18,27,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Sergio Rochet,GK,Uruguay,29,Nacional,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Rodon,DF,Wales,24,Rennes,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rodri,DF,Spain,25,Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,13,37,3,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Charly Rodríguez,MF,Mexico,25,Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guido Rodríguez,MF,Argentina,28,Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Rodríguez,FW,Ecuador,22,,2000,2,0,2,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,4.23,0.00,4.23,4.23,4.23
Ricardo Rodríguez,DF,Switzerland,29,Torino,1992,4,4,359,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,9,20,18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Rodrygo,"MF,FW",Brazil,21,Real Madrid,2001,5,1,181,2.0,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,10,9,23,0.00,0.50,0.50,0.00,0.50,0.26,0.25,0.52,0.26,0.52
Mohamed Ali Ben Romdhane,MF,Tunisia,22,Espérance de Tunis,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristian Romero,DF,Argentina,24,Tottenham,1998,7,6,547,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cristiano Ronaldo,FW,Portugal,37,Manchester Utd,1985,5,3,290,3.2,1,0,1,0,1,1,0,0,1.6,0.8,0.1,1.0,8,6,25,0.31,0.00,0.31,0.00,0.00,0.51,0.04,0.55,0.26,0.30
Marten de Roon,MF,Netherlands,31,Atalanta,1991,5,3,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kye Rowles,DF,Australia,23,Hearts,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antonio Rüdiger,DF,Germany,29,Real Madrid,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,1,21,1,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Bryan Ruiz,MF,Costa Rica,36,Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mathew Ryan,GK,Australia,30,FC Copenhagen,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Youssouf Sabaly,DF,Senegal,29,Betis,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,13,26,15,0.00,0.00,0.00,0.00,0.00,0.01,0.16,0.17,0.01,0.17
Abdelhamid Sabiri,MF,Morocco,25,Sampdoria,1996,5,2,181,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,2,1,2,0.00,0.50,0.50,0.00,0.50,0.08,0.53,0.60,0.08,0.60
Romain Saïss,DF,Morocco,32,Beşiktaş,1990,6,6,466,5.2,1,0,1,1,0,0,1,0,0.8,0.8,0.0,0.8,1,9,0,0.19,0.00,0.19,0.19,0.19,0.16,0.00,0.16,0.16,0.16
Bukayo Saka,FW,England,20,Arsenal,2001,4,4,288,3.2,3,0,3,3,0,0,0,0,0.6,0.6,0.7,1.3,11,10,34,0.94,0.00,0.94,0.94,0.94,0.20,0.20,0.40,0.20,0.40
Hiroki Sakai,"MF,DF",Japan,32,Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,6,3,0.00,0.00,0.00,0.00,0.00,0.54,0.07,0.61,0.54,0.61
Youstin Salas,"DF,MF",Costa Rica,25,Saprissa,1996,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
William Saliba,DF,France,21,Arsenal,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
Mohammed Salisu,DF,Ghana,23,Southampton,1999,3,3,270,3.0,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0,2,8,1,0.33,0.00,0.33,0.33,0.33,0.26,0.08,0.34,0.26,0.34
Tarek Salman,DF,Qatar,24,Al Sadd,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alex Sandro,DF,Brazil,31,Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,17,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Leroy Sané,"FW,DF",Germany,26,Bayern Munich,1996,2,1,111,1.2,0,1,1,0,0,0,0,0,0.1,0.1,1.8,1.9,4,8,11,0.00,0.81,0.81,0.00,0.81,0.09,1.44,1.54,0.09,1.54
Na Sang-ho,FW,Korea Republic,25,FC Seoul,1996,2,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,4,18,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
Pablo Sarabia,FW,Spain,30,Paris S-G,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,,,,,
Josh Sargent,FW,United States,22,Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,2,1,16,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25
Jeremy Sarmiento,"MF,FW",Ecuador,19,Brighton,2002,3,0,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,3,4,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.15,0.07,0.15
Ismaila Sarr,"FW,MF",Senegal,24,Watford,1998,4,4,344,3.8,1,0,1,0,1,1,0,0,1.7,0.9,0.4,1.3,14,8,25,0.26,0.00,0.26,0.00,0.00,0.44,0.11,0.55,0.23,0.34
Ferjani Sassi,"MF,DF",Tunisia,30,Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Fabian Schär,DF,Switzerland,30,Newcastle Utd,1991,2,2,135,1.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Nico Schlotterbeck,DF,Germany,22,Dortmund,1999,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Kasper Schmeichel,GK,Denmark,35,Nice,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haris Seferović,FW,Switzerland,30,Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,2,0.00,0.00,0.00,0.00,0.00,0.24,0.03,0.27,0.24,0.27
Alidu Seidu,DF,Ghana,22,Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,3,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Antoine Semenyo,"FW,MF",Ghana,22,Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Kim Seung-gyu,GK,Korea Republic,31,Al-Shabab,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paik Seung-ho,MF,Korea Republic,25,Jeonbuk,1997,1,0,26,0.3,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,3.46,0.00,3.46,3.46,3.46,0.15,0.00,0.15,0.15,0.15
Yasser Al-Shahrani,DF,Saudi Arabia,30,Al-Hilal,1992,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xherdan Shaqiri,"FW,MF",Switzerland,30,Chicago Fire,1991,3,3,229,2.5,1,1,2,1,0,0,0,0,0.3,0.3,0.9,1.2,4,16,21,0.39,0.39,0.79,0.39,0.79,0.12,0.37,0.49,0.12,0.49
Riyadh Sharahili,MF,Saudi Arabia,29,Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Luke Shaw,DF,England,26,Manchester Utd,1995,5,5,424,4.7,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,14,37,30,0.00,0.21,0.21,0.00,0.21,0.02,0.16,0.18,0.02,0.18
Saad Al Sheeb,GK,Qatar,32,Al Sadd,1990,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saleh Al-Shehri,FW,Saudi Arabia,28,Al-Hilal,1993,3,3,223,2.5,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,3,0,8,0.40,0.00,0.40,0.40,0.40,0.03,0.05,0.09,0.03,0.09
André Silva,FW,Portugal,26,RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21
António Silva,DF,Portugal,18,Benfica,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bernardo Silva,MF,Portugal,27,Manchester City,1994,5,4,356,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,18,18,17,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.14,0.04,0.14
Thiago Silva,DF,Brazil,37,Chelsea,1984,4,4,390,4.3,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,3,21,0,0.00,0.23,0.23,0.00,0.23,0.04,0.23,0.27,0.04,0.27
Unai Simón,GK,Spain,25,Athletic Club,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xavi Simons,"FW,MF",Netherlands,19,PSV Eindhoven,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ellyes Skhiri,MF,Tunisia,27,Köln,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,17,4,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Michał Skóraś,MF,Poland,22,Lech Poznań,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Andreas Skov Olsen,"FW,MF",Denmark,22,Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,7,4,23,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
Robert Skov,DF,Denmark,26,Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Naïm Sliti,"MF,FW",Tunisia,29,Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,3,9,7,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.21,0.11,0.21
Carlos Soler,MF,Spain,25,Paris S-G,1997,2,0,92,1.0,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,4,10,2,0.98,0.00,0.98,0.98,0.98,0.78,0.26,1.04,0.78,1.04
Yuki Soma,"FW,MF",Japan,25,Grampus,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,6,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Yann Sommer,GK,Switzerland,33,Gladbach,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Borna Sosa,DF,Croatia,24,Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,18,17,29,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09
Harry Souttar,DF,Australia,23,Stoke City,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
