Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Mohammed Kudus,"FW,MF",Ghana,21,2000,2.7,5,1.82,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Pierre Kunde,MF,Cameroon,26,1995,1.5,3,2.03,1,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Garang Kuol,"FW,MF",Australia,17,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Kyereh,"MF,DF",Ghana,26,1996,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kwon Kyung-won,DF,Korea Republic,30,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aïssa Laïdouni,MF,Tunisia,25,1996,2.7,4,1.48,4,0,0,0,0,0,1,0.37,1,0,0,0,0,0
Tariq Lamptey,DF,Ghana,21,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Noa Lang,MF,Netherlands,22,1999,0.1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Aymeric Laporte,DF,Spain,28,1994,3.3,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cyle Larin,FW,Canada,27,1995,1.5,5,3.28,4,0,1,0,0,0,1,0.66,1,0,0,0,0,0
Richie Laryea,"DF,MF",Canada,27,1995,1.8,5,2.81,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darko Lazović,DF,Serbia,31,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rafael Leão,FW,Portugal,23,1999,1.0,5,5.11,3,0,1,0,1,0,1,1.02,1,0,0,0,0,0
Mathew Leckie,"MF,FW",Australia,31,1991,3.7,6,1.62,5,0,1,0,0,0,1,0.27,0,0,1,0,0,0
Robert Lewandowski,FW,Poland,33,1988,4.0,14,3.50,7,0,4,1,2,0,4,1.00,2,0,2,0,0,0
Matthijs de Ligt,DF,Netherlands,22,1999,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jesper Lindstrøm,"MF,FW",Denmark,22,2000,2.2,2,0.90,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
