Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Ángel Di María,"MF,FW",Argentina,34,1988,3.2,3,1,2,0,1,1,3,33.3,2,3,0,3,1,4,0,0
Boulaye Dia,FW,Senegal,25,1996,3.5,1,0,0,1,0,0,0,,0,1,0,1,1,2,3,0
Abdou Diallo,DF,Senegal,26,1996,3.7,2,2,2,0,0,2,2,100.0,0,1,1,0,1,3,10,0
Rúben Dias,DF,Portugal,25,1997,4.0,4,4,2,2,0,0,1,0.0,1,2,0,2,3,7,9,0
Krépin Diatta,"FW,MF",Senegal,23,1999,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Famara Diedhiou,FW,Senegal,29,1992,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Bamba Dieng,FW,Senegal,22,2000,1.1,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
Eric Dier,DF,England,28,1994,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Axel Disasi,DF,France,24,1998,1.0,3,2,1,2,0,0,2,0.0,2,0,0,0,3,6,4,0
Alexander Djiku,"DF,FW",Ghana,27,1994,1.1,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,9,0
Ritsu Doan,FW,Japan,23,1998,2.4,6,5,1,4,1,1,3,33.3,2,4,1,3,3,9,2,0
Jeremy Doku,"MF,FW",Belgium,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kasper Dolberg,FW,Denmark,24,1997,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Mohamed Dräger,DF,Tunisia,25,1996,1.5,5,3,3,2,0,4,4,100.0,0,0,0,0,1,6,4,0
Óscar Duarte,DF,Costa Rica,33,1989,3.0,4,2,4,0,0,2,2,100.0,0,3,1,2,6,10,15,0
Mitchell Duke,FW,Australia,31,1991,3.0,0,0,0,0,0,0,0,,0,5,0,5,2,2,1,0
Denzel Dumfries,DF,Netherlands,26,1996,5.3,8,5,7,1,0,5,6,83.3,1,5,1,4,7,15,6,0
