Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Cedric Itten,SUI,FW,Young Boys,27-316,1996,0.9,31,5,6,18,7,2,31,0,0,,0,,9,27,12,0,0,0,3,1,14,4
Mirko Ivanić,MNE,MF,Red Star,31-055,1993,1.0,50,0,2,18,30,5,50,3,2,66.7,0,0.0,36,278,145,2,2,1,0,1,38,14
Luka Ivanušec,CRO,"MF,FW",Feyenoord,25-347,1998,1.1,49,1,8,20,21,2,49,5,2,40.0,3,60.0,25,148,17,0,3,0,4,1,32,8
Ardon Jashari,SUI,MF,Club Brugge,22-100,2002,2.9,186,14,59,103,24,2,186,3,1,33.3,2,66.7,77,415,213,4,0,1,1,0,121,3
Seedy Jatta,NOR,FW,Sturm Graz,21-234,2003,2.2,46,0,6,28,13,2,46,5,2,40.0,3,60.0,26,161,90,2,1,1,8,2,24,6
Gabriel Jesus,BRA,"FW,MF",Arsenal,27-218,1997,2.1,117,0,4,41,73,10,117,7,4,57.1,3,42.9,65,329,137,4,5,1,7,6,92,30
Alistair Johnston,CAN,DF,Celtic,26-030,1998,3.8,305,24,124,139,45,5,305,1,0,0.0,1,100.0,178,649,386,5,3,0,5,3,201,9
Max Johnston,SCO,DF,Sturm Graz,20-317,2003,2.9,122,13,38,58,30,0,122,1,0,0.0,1,100.0,60,243,149,3,1,0,0,0,64,6
Curtis Jones,ENG,MF,Liverpool,23-282,2001,1.1,71,0,9,37,26,6,71,6,3,50.0,3,50.0,52,269,77,1,1,1,4,2,56,8
Frenkie de Jong,NED,MF,Barcelona,27-179,1997,1.3,108,2,9,73,26,2,108,0,0,,0,,58,273,148,2,4,0,2,2,82,3
Luuk de Jong,NED,FW,PSV Eindhoven,34-072,1990,3.8,152,6,13,78,61,16,152,1,1,100.0,0,0.0,59,150,36,0,1,0,5,6,111,18
Jorginho,ITA,MF,Arsenal,32-323,1991,0.4,29,1,10,15,4,3,29,0,0,,0,,11,37,4,0,0,0,0,0,18,1
Diogo Jota,POR,FW,Liverpool,27-339,1996,1.1,29,0,3,11,15,6,29,2,0,0.0,2,100.0,18,77,44,0,0,1,4,1,22,6
Juanpe,ESP,DF,Girona,33-191,1991,1.3,104,6,30,69,6,0,104,0,0,,0,,79,506,278,0,2,0,2,1,80,0
Mauro Júnior,BRA,"DF,MF",PSV Eindhoven,25-185,1999,2.9,211,12,47,113,52,3,211,5,1,20.0,3,60.0,113,565,227,3,4,0,3,0,150,13
Vinicius Júnior,BRA,FW,Real Madrid,24-118,2000,4.0,215,0,10,66,145,37,214,34,13,38.2,18,52.9,157,1238,670,28,12,14,15,4,168,48
Ferran Jutglà,ESP,FW,Club Brugge,25-280,1999,2.9,81,2,8,44,30,10,81,2,0,0.0,2,100.0,49,222,106,4,2,2,5,0,65,16
Issa Kaboré,BFA,DF,Benfica,23-179,2001,1.1,51,6,27,18,6,0,51,4,2,50.0,2,50.0,20,149,51,2,1,0,0,3,22,1
