Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,15,18,83.3,163,20,10,11,90.9,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,44,55,80.0,633,255,27,28,96.4,15,20,75.0,2,2,100.0,0,0.5,0.3,-0.5,3,3,3,2,3
Václav Černý,MF,Czechia,26,1997,0.6,26,33,78.8,313,125,20,23,87.0,2,2,100.0,2,6,33.3,0,0.1,0.8,-0.1,1,4,2,1,1
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,79,93,84.9,992,305,55,59,93.2,15,18,83.3,4,8,50.0,0,0.3,0.1,-0.3,4,6,2,0,11
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,69,104,66.3,958,168,47,52,90.4,14,26,53.8,5,11,45.5,0,0.3,0.6,-0.3,2,1,7,3,5
Tomáš Chorý,MF,Czechia,29,1995,0.4,2,6,33.3,27,2,1,4,25.0,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0
Andreas Christensen,DF,Denmark,27,1996,3.9,218,231,94.4,3357,1163,116,121,95.9,86,89,96.6,10,14,71.4,0,0.0,0.0,0.0,0,9,1,0,9
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,15,20,75.0,211,64,9,10,90.0,3,4,75.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,1,0
Mojmir Chytil,FW,Czechia,24,1999,1.2,6,15,40.0,68,1,4,5,80.0,1,3,33.3,0,3,0.0,0,0.1,0.2,-0.1,1,0,0,0,1
Alexandru Cicâldău,MF,Romania,26,1997,0.2,2,5,40.0,39,0,1,1,100.0,0,1,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
Florinel Coman,MF,Romania,25,1998,1.3,20,28,71.4,197,46,15,18,83.3,3,4,75.0,0,1,0.0,0,0.1,0.0,-0.1,2,0,0,0,1
