Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Joshua Kimmich,DF,Germany,28,1995,5.3,0,0,0,3,3,1,24,6,4,0,0,0,23,3,4,42.9
Otar Kiteishvili,MF,Georgia,27,1996,1.4,0,0,0,1,0,0,0,0,4,0,0,0,8,1,0,100.0
Jakub Kiwior,DF,Poland,23,2000,3.0,0,0,0,1,2,0,2,5,4,0,1,0,6,6,3,66.7
László Kleinheisler,MF,Hungary,29,1994,0.6,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0
Giorgi Kochorashvili,MF,Georgia,24,1999,4.0,1,0,0,7,10,0,1,5,5,0,0,0,31,1,2,33.3
Orkun Kökçü,MF,Türkiye,23,2000,2.5,2,0,0,4,3,0,3,1,2,0,0,0,17,1,3,25.0
Randal Kolo Muani,FW,France,25,1998,2.2,0,0,0,6,5,1,0,1,0,0,0,0,9,2,3,40.0
Yukhym Konoplia,DF,Ukraine,24,1999,0.8,1,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0.0
Ezri Konsa,DF,England,26,1997,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.0
Filip Kostić,DF,Serbia,31,1992,0.5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,
Jules Koundé,DF,France,25,1998,6.3,0,0,0,4,3,0,22,2,12,0,0,0,18,7,4,63.6
Mateo Kovačić,MF,Croatia,29,1994,2.5,0,0,0,3,4,0,0,3,6,0,0,0,14,0,0,
Matej Kovar,GK,Czechia,23,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrej Kramarić,FW,Croatia,32,1991,2.7,0,0,0,4,3,0,7,1,0,0,0,0,6,2,2,50.0
Ladislav Krejčí,DF,Czechia,24,1999,3.0,1,0,0,6,0,0,2,5,2,0,0,0,11,6,2,75.0
Toni Kroos,MF,Germany,34,1990,5.2,1,0,0,7,6,0,35,7,4,0,0,0,34,1,1,50.0
Jan Kuchta,FW,Czechia,27,1997,1.1,0,0,0,1,0,0,0,0,1,0,0,0,4,1,7,12.5
Juraj Kucka,MF,Slovakia,36,1987,3.9,1,0,0,6,4,0,3,2,1,0,0,0,13,7,3,70.0
Jasmin Kurtić,FW,Slovenia,35,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Khvicha Kvaratskhelia,FW,Georgia,22,2001,3.8,0,0,0,2,10,0,15,0,3,0,0,0,13,0,6,0.0
Nika Kvekveskiri,MF,Georgia,31,1992,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Giorgi Kvilitaia,FW,Georgia,30,1993,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Saba Kvirkvelia,DF,Georgia,31,1992,2.0,1,0,0,1,1,0,0,1,3,0,0,0,5,5,1,83.3
Qazim Laçi,"MF,FW",Albania,28,1996,1.8,0,0,0,1,0,0,4,3,3,0,0,0,7,2,2,50.0
Konrad Laimer,"MF,FW",Austria,26,1997,3.0,1,0,0,5,1,0,2,2,1,0,0,0,14,1,2,33.3
Ádám Lang,DF,Hungary,31,1993,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0
Aymeric Laporte,DF,Spain,29,1994,5.8,0,0,0,2,5,0,2,6,3,0,0,0,13,8,6,57.1
