Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Antoine Griezmann,"MF,FW",France,32,1991,4.4,234,3,24,88,124,16,234,2,2,100.0,0,0.0,154,566,312,7,3,2,7,5,163,23
Florian Grillitsch,MF,Austria,28,1995,2.2,182,0,24,107,52,2,182,2,0,0.0,0,0.0,137,694,395,5,4,0,1,2,139,3
Álex Grimaldo,DF,Spain,28,1995,1.3,113,3,17,48,48,2,113,3,1,33.3,2,66.7,72,349,178,4,3,0,2,1,82,13
Pascal Groß,MF,Germany,32,1991,0.5,73,0,2,43,28,0,73,0,0,,0,,37,184,101,0,3,0,0,0,66,2
Kamil Grosicki,MF,Poland,35,1988,0.2,8,0,0,5,3,1,8,0,0,,0,,4,3,0,0,0,0,1,0,5,1
Nemanja Gudelj,MF,Serbia,32,1991,1.0,68,1,25,41,2,0,68,1,1,100.0,0,0.0,51,291,168,0,1,0,0,0,56,0
Marc Guéhi,DF,England,23,2000,6.3,489,28,191,280,21,6,489,1,0,0.0,1,100.0,303,1388,729,3,5,0,2,0,374,1
Péter Gulácsi,GK,Hungary,33,1990,3.0,107,99,105,2,0,0,107,0,0,,0,,72,302,83,0,0,0,0,0,52,0
Arda Güler,"FW,MF",Türkiye,18,2005,3.8,239,1,27,120,95,12,239,15,7,46.7,7,46.7,145,906,340,9,9,5,12,2,173,18
İlkay Gündoğan,MF,Germany,33,1990,4.3,193,2,15,88,91,11,193,5,1,20.0,3,60.0,125,591,277,4,12,1,5,3,163,26
Angus Gunn,GK,Scotland,28,1996,3.0,128,100,127,1,0,0,128,0,0,,0,,74,350,140,0,0,0,0,0,52,0
Mert Günok,GK,Türkiye,34,1989,4.0,142,121,140,2,0,0,142,0,0,,0,,69,387,250,0,0,0,0,0,54,0
Joško Gvardiol,DF,Croatia,22,2002,3.0,187,7,42,111,36,2,187,6,4,66.7,0,0.0,111,661,343,3,5,0,5,7,132,8
