Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
David Costa,POR,MT,Lens,23-284,2001,4,1,140,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.7,5,9,6,0.00,0.00,0.00,0.00,0.00,0.36,0.10,0.47,0.36,0.47
Logan Costa,CPV,DF,Toulouse,23-197,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50
Lasso Coulibaly,GHA,"AT,MT",Auxerre,21-362,2002,2,0,38,0.4,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,0,3,2.37,0.00,2.37,2.37,2.37,0.52,0.00,0.52,0.52,0.52
Soumaïla Coulibaly,FRA,DF,Brest,21-001,2003,3,1,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Tanguy Coulibaly,FRA,AT,Montpellier,23-240,2001,5,3,284,3.2,0,0,0,0,0,0,2,1,0.2,0.2,0.4,0.6,16,5,23,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19
Nicolas Cozza,FRA,DF,Nantes,25-281,1999,4,2,211,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,7,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Charlie Cresswell,ENG,DF,Toulouse,22-059,2002,6,4,343,3.8,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.5,4,13,1,0.00,0.00,0.00,0.00,0.00,0.27,0.12,0.39,0.27,0.39
Kévin Danois,FRA,"MT,DF",Auxerre,20-109,2004,6,3,311,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.6,4,29,9,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.18,0.11,0.18
Kevin Danso,AUT,DF,Lens,26-026,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Dante,BRA,DF,Nice,40-363,1983,7,6,563,6.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,6,33,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pape Daouda Diongue,SEN,MT,Strasbourg,,,1,1,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,0,2,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32
Mohammed Daramy,DEN,AT,Reims,22-282,2002,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,0,2,0.00,0.00,0.00,0.00,0.00,0.20,0.32,0.51,0.20,0.51
Jonathan David,CAN,AT,Lille,24-275,2000,7,4,463,5.1,5,0,5,4,1,1,0,0,3.2,2.4,0.2,2.6,8,11,37,0.97,0.00,0.97,0.78,0.78,0.63,0.04,0.66,0.48,0.51
Zuriko Davitashvili,GEO,"MT,AT",Saint-Étienne,23-243,2001,7,7,599,6.7,3,2,5,3,0,0,0,0,1.5,1.5,1.1,2.6,15,14,37,0.45,0.30,0.75,0.45,0.75,0.23,0.16,0.39,0.23,0.39
Thibault De Smet,BEL,DF,Reims,26-132,1998,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
