Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-090,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-272,2006,7,7,537,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,26,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-160,2000,4,3,308,3.4,1,4,5,1,0,0,2,0,1.1,1.1,1.0,2.1,9,6,30,0.29,1.17,1.46,0.29,1.46,0.32,0.30,0.62,0.32,0.62
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-056,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-138,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Joachim Andersen,DEN,DF,Fulham,Premier League,28-138,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,13,0,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,21-345,2002,7,6,421,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,9,17,21,0.00,0.21,0.21,0.00,0.21,0.05,0.03,0.09,0.05,0.09
André,BRA,MF,Wolves,Premier League,23-092,2001,5,4,317,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Benjamin André,FRA,MF,Lille,Ligue 1,34-074,1990,6,6,532,5.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,49,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Marcos André,BRA,FW,Valladolid,La Liga,27-362,1996,5,3,252,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-024,1994,4,4,319,3.5,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,0,15,4,0.28,0.00,0.28,0.28,0.28,0.05,0.01,0.06,0.05,0.06
Angeliño,ESP,DF,Roma,Serie A,27-286,1997,7,7,610,6.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,17,63,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-233,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-328,2001,4,3,219,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.5,7,8,4,0.00,0.41,0.41,0.00,0.41,0.06,0.16,0.22,0.06,0.22
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-088,1996,6,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,30,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Michail Antonio,JAM,FW,West Ham,Premier League,34-202,1990,7,6,428,4.8,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.6,11,10,29,0.21,0.21,0.42,0.21,0.42,0.38,0.15,0.54,0.38,0.54
Antoniu,ESP,MF,Espanyol,La Liga,22-041,2002,3,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.26,0.04,0.26
Antony,BRA,FW,Manchester Utd,Premier League,24-235,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.47,0.22,0.70,0.47,0.70
Anuar,MAR,FW,Valladolid,La Liga,29-275,1995,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.07,0.50,0.56,0.07,0.56
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-129,1992,6,4,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,10,24,14,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
