Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Jhon Arias,MF,Colombia,26,1997,5.4,204,225,90.7,2833,489,119,126,94.4,65,68,95.6,7,11,63.6,1,0.1,0.2,+0.9,1,12,3,0,17
Santiago Arias,DF,Colombia,32,1992,2.0,48,63,76.2,774,207,22,25,88.0,24,29,82.8,2,4,50.0,0,0.1,0.1,-0.1,2,2,2,0,4
Gerardo Arteaga,DF,Mexico,25,1998,3.0,118,137,86.1,1719,540,69,72,95.8,36,40,90.0,8,13,61.5,0,0.0,0.1,0.0,0,15,1,1,20
Yaser Asprilla,FW,Colombia,20,2003,0.2,11,12,91.7,130,44,8,8,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1
Abdiel Ayarza,MF,Panama,31,1992,0.7,9,11,81.8,149,19,2,3,66.7,6,7,85.7,0,0,,1,0.2,0.2,+0.8,1,0,0,0,0
Theo Bair,FW,Canada,24,1999,0.2,1,2,50.0,11,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,91,111,82.0,1883,697,26,31,83.9,49,53,92.5,14,24,58.3,0,0.4,0.0,-0.4,3,8,0,0,8
Folarin Balogun,FW,United States,22,2001,1.9,18,26,69.2,217,27,15,16,93.8,2,8,25.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,3
Adam Bareiro,FW,Paraguay,27,1996,0.8,10,17,58.8,132,22,8,10,80.0,1,3,33.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Jon Bell,DF,Jamaica,26,1997,1.0,19,26,73.1,342,140,6,8,75.0,12,16,75.0,1,1,100.0,0,0.3,0.5,-0.3,3,0,1,1,1
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,51,84,60.7,677,183,32,38,84.2,16,21,76.2,1,13,7.7,0,0.1,0.3,-0.1,2,1,3,1,4
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,48,64,75.0,823,383,22,25,88.0,16,22,72.7,8,12,66.7,0,0.1,0.1,-0.1,1,6,0,0,9
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,28,36,77.8,550,286,10,11,90.9,14,15,93.3,4,10,40.0,0,0.0,0.0,0.0,1,1,0,0,0
César Blackman,"MF,DF",Panama,25,1998,2.2,50,67,74.6,743,216,30,35,85.7,16,20,80.0,3,8,37.5,0,0.1,0.1,-0.1,2,9,2,0,8
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,76,86,88.4,1135,355,41,44,93.2,29,32,90.6,3,3,100.0,0,0.0,0.1,0.0,2,11,0,0,7
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,7,19,36.8,59,21,7,10,70.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Moïse Bombito,DF,Canada,23,2000,6.0,239,274,87.2,4138,1787,97,102,95.1,128,135,94.8,11,29,37.9,1,0.3,0.0,+0.7,2,10,0,0,17
Miguel Borja,FW,Colombia,31,1993,0.3,1,4,25.0,14,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Rafael Borré,FW,Colombia,28,1995,1.4,16,24,66.7,182,6,9,13,69.2,5,6,83.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Alejandro Bran,MF,Costa Rica,22,2001,0.4,10,16,62.5,165,82,4,5,80.0,6,7,85.7,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,2
Claudio Bravo,GK,Chile,40,1983,2.0,51,80,63.8,1526,1002,8,8,100.0,21,22,95.5,22,50,44.0,0,0.0,0.0,0.0,0,1,0,0,0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,55,70,78.6,923,226,24,26,92.3,23,26,88.5,5,11,45.5,1,0.0,0.0,+1.0,1,2,0,0,6
Ben Brereton,FW,Chile,24,1999,0.5,5,9,55.6,69,16,3,4,75.0,1,3,33.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
