Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Juan Cazares,ECU,"MF,FW",América (MG),30,1992,3.1,0,6,2,33.3,1.91,0.64,0.00,0.00,26.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Brayan Ceballos,COL,DF,Fortaleza,21,2001,2.3,0,2,1,50.0,0.87,0.44,0.00,0.00,10.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Pablo Ceppelini,URU,MF,Cuiabá,31,1991,11.1,0,20,8,40.0,1.81,0.72,0.00,0.00,22.3,2,0,0,1.1,1.1,0.06,-1.1,-1.1
Murilo Cerqueira,BRA,DF,Palmeiras,25,1997,24.1,3,12,7,58.3,0.50,0.29,0.25,0.43,11.1,0,0,0,1.0,1.0,0.08,+2.0,+2.0
Ricardo Cerqueira,BRA,MF,Cuiabá,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Júlio César,BRA,DF,América (MG),19,2003,6.6,0,4,0,0.0,0.61,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Reynaldo Cesar Moraes,BRA,DF,Cruzeiro,26,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Reynaldo Cesar Moraes,BRA,DF,Coritiba,26,1997,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kayky Chagas,BRA,"FW,MF",Bahia,19,2003,4.6,2,10,3,30.0,2.20,0.66,0.20,0.67,13.7,0,0,0,1.5,1.5,0.15,+0.5,+0.5
Jhon Chancellor,VEN,DF,Coritiba,31,1992,3.4,0,1,0,0.0,0.30,0.00,0.00,,14.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Gabriel Chapecó,BRA,GK,Grêmio,22,2000,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gabriel Chaves,BRA,"FW,MF",Vasco da Gama,21,2001,29.0,8,66,24,36.4,2.27,0.83,0.12,0.33,17.8,5,0,0,8.9,8.9,0.14,-0.9,-0.9
Jhoanner Chávez,ECU,"DF,MF",Bahia,20,2002,6.5,0,4,1,25.0,0.61,0.15,0.00,0.00,24.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Chiqueti,BRA,MF,Ath Paranaense,17,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christian,BRA,"MF,FW",Ath Paranaense,22,2000,15.1,4,26,7,26.9,1.72,0.46,0.15,0.57,20.1,0,0,0,2.7,2.7,0.10,+1.3,+1.3
