Player,Nation,Pos,Squad,Born,Seasons
Antoni Milambo,NED,"DF,MF",Feyenoord,2005,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Yankuba Minteh,GAM,FW,Feyenoord,2004,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Premier League']}"
Joel Monteiro,SUI,"FW,MF",Young Boys,1999,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Leandro Morgalla,GER,DF,RB Salzburg,2004,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Fernando Muslera,URU,GK,Galatasaray,1986,"{'2023-2024': ['Europa League', 'Champions League']}"
Fran Navarro,ESP,FW,Porto,1998,"{'2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga']}"
Cherif Ndiaye,SEN,FW,Red Star,1996,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Kosta Nedeljković,SRB,DF,Red Star,2005,"{'2023-2024': ['Champions League'], '2024-2025': ['Premier League', 'Champions League']}"
Victor Nelsson,DEN,DF,Galatasaray,1998,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Europa League'], 'WC 2022': ['WC 2022']}"
Newerton,BRA,"MF,FW",Shakhtar,2005,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Cheikh Niasse,SEN,MF,Young Boys,2000,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Jean-Pierre Nsame,CMR,FW,Young Boys,1993,{'2023-2024': ['Champions League']}
Peter Olayinka,NGA,"DF,FW",Red Star,1995,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Sérgio Oliveira,POR,MF,Galatasaray,1992,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Europa League']}"
Aleksandar Pavlovic,GER,MF,Bayern Munich,2004,"{'2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League']}"
Nicolás Paz,ARG,MF,Real Madrid,2004,"{'2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Serie A']}"
Noah Persson,SWE,"DF,MF",Young Boys,2003,"{'2023-2024': ['Europa League', 'Champions League']}"
Kamil Piątkowski,POL,DF,RB Salzburg,2000,"{'2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Champions League']}"
Pizzi,POR,MF,Braga,1989,"{'2023-2024': ['Primeira Liga', 'Europa League', 'Champions League']}"
Anthony Racioppi,SUI,GK,Young Boys,1998,{'2023-2024': ['Champions League']}
Petar Ratkov,SRB,FW,RB Salzburg,2003,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Tijjani Reijnders,NED,MF,Milan,1998,"{'2023-2024': ['Europa League', 'Champions League', 'Serie A'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Dmytro Riznyk,UKR,GK,Shakhtar,1999,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Donat Rrudhani,KVX,MF,Young Boys,1999,{'2023-2024': ['Champions League']}
Serdar Saatçı,TUR,DF,Braga,2003,"{'2023-2024': ['Primeira Liga', 'Europa League', 'Champions League']}"
Juanlu Sánchez,ESP,DF,Sevilla,2003,"{'2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['La Liga']}"
Leo Sauer,SVK,"MF,FW",Feyenoord,2005,"{'2023-2024': ['Champions League'], 'EURO 2024': ['EURO 2024']}"
Liam Scales,IRL,DF,Celtic,1998,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Alexander Schlager,AUT,GK,RB Salzburg,1996,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Uroš Spajić,SRB,DF,Red Star,1993,"{'2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Mahamadou Susoho,ESP,MF,Manchester City,2005,{'2023-2024': ['Champions League']}
Casper Tengstedt,DEN,FW,Benfica,2000,"{'2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Serie A']}"
Odin Thiago Holm,NOR,MF,Celtic,2003,{'2023-2024': ['Champions League']}
Lucas Torreira,URU,MF,Galatasaray,1996,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Europa League']}"
Chaka Traorè,CIV,MF,Milan,2004,"{'2023-2024': ['Champions League', 'Serie A']}"
Ayase Ueda,JPN,FW,Feyenoord,1998,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League'], 'WC 2022': ['WC 2022']}"
Filip Ugrinic,SUI,MF,Young Boys,1999,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Alan Varela,ARG,MF,Porto,2001,"{'2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Jacob Wright,ENG,FW,Manchester City,2005,{'2023-2024': ['Champions League']}
Arsen Zakharyan,RUS,"FW,MF",Real Sociedad,2003,"{'2023-2024': ['La Liga', 'Champions League']}"
Ramiz Zerrouki,ALG,MF,Feyenoord,1998,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Łukasz Łakomy,POL,MF,Young Boys,2001,"{'2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Peter Abrahamsson,SWE,GK,Häcken,1988,{'2023-2024': ['Europa League']}
Peter Ademo,NGA,MF,Sheriff Tiraspol,2003,{'2023-2024': ['Europa League']}
Ilias Akhomach,MAR,"MF,FW",Villarreal,2004,"{'2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['La Liga']}"
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,2002,"{'2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Serie A']}"
Chuba Akpom,ENG,"FW,MF",Ajax,1995,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Adrià Altimira,ESP,DF,Villarreal,2001,"{'2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['La Liga']}"
Romeo Amane,CIV,MF,Häcken,2003,{'2023-2024': ['Europa League']}
Jaydon Amauri Banel,NED,MF,Ajax,2004,{'2023-2024': ['Europa League']}
Michael Amir Murillo,PAN,"DF,MF",Marseille,1996,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Nordin Amrabat,MAR,"MF,FW",AEK Athens,1987,{'2023-2024': ['Europa League']}
Andrés Andrade Cedeño,PAN,DF,LASK,1998,{'2023-2024': ['Europa League']}
Patrick Andrade,CPV,MF,Qarabağ,1993,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Markus Andreas Kaasa,NOR,MF,Molde,1997,{'2023-2024': ['Europa League']}
Goran Antonić,SRB,DF,TSC Bačka Top,1990,{'2023-2024': ['Europa League']}
Alexis Antunes,SUI,"MF,FW",Servette FC,2000,{'2023-2024': ['Europa League']}
Ayman Aourir,GER,MF,Leverkusen,2004,{'2023-2024': ['Europa League']}
Kostas Apostolakis,GRE,DF,Sheriff Tiraspol,1999,{'2023-2024': ['Europa League']}
Sergio Araujo,ARG,"MF,FW",AEK Athens,1992,{'2023-2024': ['Europa League']}
Zoran Arsenić,CRO,DF,RKS Raków,1994,{'2023-2024': ['Europa League']}
Alejandro Artunduaga,COL,DF,Sheriff Tiraspol,1997,{'2023-2024': ['Europa League']}
Giorgos Athanasiadis,GRE,GK,AEK Athens,1993,{'2023-2024': ['Europa League']}
Nəriman Axundzadə,AZE,FW,Qarabağ,2004,{'2023-2024': ['Europa League']}
Shavy Babicka,GAB,"FW,MF",Toulouse,2000,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Husein Balic,AUT,FW,LASK,1996,{'2023-2024': ['Europa League']}
Anthony Baron,GLP,"DF,MF",Servette FC,1992,{'2023-2024': ['Europa League']}
Chris Bedia,CIV,FW,Servette FC,1996,"{'2023-2024': ['Europa League', 'Bundesliga']}"
George Bello,USA,"MF,DF",LASK,2002,{'2023-2024': ['Europa League']}
Leo Bengtsson,SWE,"FW,MF",Aris Limassol FC,1998,{'2023-2024': ['Europa League']}
Yassine Benzia,ALG,MF,Qarabağ,1994,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Gustav Berggren,SWE,MF,RKS Raków,1997,{'2023-2024': ['Europa League']}
Veton Berisha,NOR,FW,Molde,1994,{'2023-2024': ['Europa League']}
Bernard,BRA,"FW,MF",Panathinaikos,1992,"{'2023-2024': ['Europa League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Martin Bjørnbak,NOR,DF,Molde,1992,{'2023-2024': ['Europa League']}
Eric Boakye,GHA,DF,Aris Limassol FC,1999,{'2023-2024': ['Europa League']}
Bendegúz Bolla,HUN,"MF,DF",Servette FC,1999,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Giovanni Bonfanti,ITA,DF,Atalanta,2003,"{'2023-2024': ['Europa League', 'Serie A']}"
Jan Bořil,CZE,"DF,MF",Slavia Prague,1991,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Dan Boţan,MDA,MF,Sheriff Tiraspol,2005,{'2023-2024': ['Europa League']}
Conor Bradley,NIR,DF,Liverpool,2003,"{'2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League']}"
Daniel Bragança,POR,MF,Sporting CP,1999,"{'2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
Emil Breivik,NOR,MF,Molde,2000,{'2023-2024': ['Europa League']}
Ben Brereton,CHI,FW,Villarreal,1999,"{'2023-2024': ['Premier League', 'Europa League', 'La Liga'], '2024-2025': ['Premier League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Maximilian Breunig,GER,FW,Freiburg,2000,"{'2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Alberto Brignoli,ITA,GK,Panathinaikos,1991,{'2023-2024': ['Europa League']}
Franz Brorsson,SWE,"DF,FW",Aris Limassol FC,1996,{'2023-2024': ['Europa League']}
Morgan Brown,ENG,MF,Aris Limassol FC,1999,{'2023-2024': ['Europa League']}
Isak Brusberg,SWE,MF,Häcken,2006,{'2023-2024': ['Europa League']}
Mick van Buren,NED,FW,Slavia Prague,1992,{'2023-2024': ['Europa League']}
Jack Butland,ENG,GK,Rangers,1993,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Caju,BRA,DF,Aris Limassol FC,1995,{'2023-2024': ['Europa League']}
Josip Čalušić,CRO,DF,TSC Bačka Top,1993,{'2023-2024': ['Europa League']}
Aitor Cantalapiedra,ESP,FW,Panathinaikos,1996,{'2023-2024': ['Europa League']}
Todd Cantwell,ENG,"FW,MF",Rangers,1998,{'2023-2024': ['Europa League']}
Christian Cappis,USA,"MF,DF",Molde,1999,{'2023-2024': ['Europa League']}
Álvaro Carreras,ESP,DF,Benfica,2003,"{'2023-2024': ['Primeira Liga', 'Europa League', 'La Liga'], '2024-2025': ['Primeira Liga', 'Champions League']}"
João Carvalho,POR,MF,Olympiacos,1997,"{'2023-2024': ['Europa League'], '2024-2025': ['Primeira Liga']}"
Cristian Cásseres Jr.,VEN,MF,Toulouse,2000,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Geny Catamo,MOZ,"MF,DF",Sporting CP,2001,"{'2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
Marcin Cebula,POL,"FW,MF",RKS Raków,1995,{'2023-2024': ['Europa League']}
Luke Chambers,ENG,DF,Liverpool,2004,{'2023-2024': ['Europa League']}
Luigi Cherubini,ITA,MF,Roma,2004,{'2023-2024': ['Europa League']}
Mojmir Chytil,CZE,FW,Slavia Prague,1999,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
José Cifuentes,ECU,MF,Rangers,1999,"{'2023-2024': ['Europa League'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'WC 2022': ['WC 2022']}"
Aleksandar Ćirković,SRB,"FW,MF",TSC Bačka Top,2001,{'2023-2024': ['Europa League']}
Moustapha Cissé,GUI,FW,Atalanta,2003,{'2023-2024': ['Europa League']}
Ibrahim Cissoko,NED,MF,Toulouse,2003,"{'2023-2024': ['Europa League', 'Ligue 1']}"
Timothé Cognat,FRA,MF,Servette FC,1998,{'2023-2024': ['Europa League']}
João Costa,BRA,"MF,FW",Roma,2005,"{'2023-2024': ['Europa League', 'Serie A']}"
Enzo Crivelli,FRA,"FW,DF",Servette FC,1995,{'2023-2024': ['Europa League']}
Ante Crnac,CRO,FW,RKS Raków,2003,{'2023-2024': ['Europa League']}
Miloš Cvetković,SRB,DF,TSC Bačka Top,1990,{'2023-2024': ['Europa League']}
Francesco D'Alessio,ITA,MF,Roma,2004,{'2023-2024': ['Europa League']}
Pontus Dahbo,SWE,MF,Häcken,2005,{'2023-2024': ['Europa League']}
Jayden Danns,ENG,DF,Liverpool,2006,"{'2023-2024': ['Premier League', 'Europa League']}"
Raimane Daou,COM,DF,Marseille,2004,"{'2023-2024': ['Europa League', 'Ligue 1']}"
Ebrima Darboe,GAM,"MF,DF",LASK,2001,{'2023-2024': ['Europa League']}
Tommaso Del Lungo,ITA,DF,Atalanta,2003,{'2023-2024': ['Europa League']}
Assane Diao,ESP,FW,Betis,2005,"{'2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['La Liga']}"
Mohamed Diomandé,CIV,MF,Rangers,2001,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Oscar Dorley,LBR,MF,Slavia Prague,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
David Doudera,CZE,"DF,MF",Slavia Prague,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
David Douline,FRA,"MF,FW",Servette FC,1993,{'2023-2024': ['Europa League']}
Josh Duffus,ENG,FW,Brighton,2004,{'2023-2024': ['Europa League']}
Andres Dumitrescu,ROU,"DF,MF",Slavia Prague,2001,{'2023-2024': ['Europa League']}
George Earthy,ENG,MF,West Ham,2004,"{'2023-2024': ['Premier League', 'Europa League']}"
Niclas Eliasson,SWE,"FW,MF",AEK Athens,1995,{'2023-2024': ['Europa League']}
Martin Ellingsen,NOR,"DF,MF",Molde,1995,{'2023-2024': ['Europa League']}
Kristian Eriksen,NOR,"MF,FW",Molde,1995,{'2023-2024': ['Europa League']}
Ilay Feingold,ISR,DF,Maccabi Haifa,2004,{'2023-2024': ['Europa League']}
Tiago Ferreira,POR,FW,Sporting CP,2002,"{'2023-2024': ['Europa League'], '2024-2025': ['Primeira Liga']}"
Florian Flecker,AUT,"MF,DF",LASK,1995,{'2023-2024': ['Europa League']}
Carlos Forbs,POR,"FW,DF",Ajax,2004,"{'2023-2024': ['Europa League'], '2024-2025': ['Premier League']}"
Kostas Fortounis,GRE,FW,Olympiacos,1992,{'2023-2024': ['Europa League']}
Nicolás Freire,ARG,DF,Olympiacos,1994,{'2023-2024': ['Europa League']}
Jérémy Frick,SUI,GK,Servette FC,1993,{'2023-2024': ['Europa League']}
Anton Gaaei,DEN,DF,Ajax,2002,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Mijat Gaćinović,SRB,MF,AEK Athens,1995,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Konstantinos Galanopoulos,GRE,MF,AEK Athens,1997,{'2023-2024': ['Europa League']}
Levi Garcia,TRI,FW,AEK Athens,1997,{'2023-2024': ['Europa League']}
Gelabert,ESP,"MF,FW",Toulouse,2000,"{'2023-2024': ['Europa League', 'Ligue 1']}"
Rami Gershon,ISR,DF,Maccabi Haifa,1988,{'2023-2024': ['Europa League']}
Adam Gnezda Čerin,SVN,MF,Panathinaikos,1999,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Mika Godts,BEL,"FW,MF",Ajax,2005,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Thomas Goiginger,AUT,FW,LASK,1993,{'2023-2024': ['Europa League']}
James Gomez,GAM,DF,Sparta Prague,2001,{'2023-2024': ['Europa League']}
Yannick Gomis,SEN,"MF,FW",Aris Limassol FC,1992,{'2023-2024': ['Europa League']}
Tristan Gooijer,NED,DF,Ajax,2004,{'2023-2024': ['Europa League']}
Kaide Gordon,ENG,FW,Liverpool,2004,"{'2023-2024': ['Premier League', 'Europa League']}"
Jay Gorter,NED,GK,Ajax,2000,{'2023-2024': ['Europa League']}
Leon Grgic,AUT,MF,Sturm Graz,2006,{'2023-2024': ['Europa League']}
Magnus Grødem,NOR,MF,Molde,1998,{'2023-2024': ['Europa League']}
Luka Gugeshashvili,GEO,GK,Qarabağ,1999,{'2023-2024': ['Europa League']}
Jérémy Guillemenot,SUI,"FW,MF",Servette FC,1998,{'2023-2024': ['Europa League']}
Fredrik Gulbrandsen,NOR,FW,Molde,1992,{'2023-2024': ['Europa League']}
Samuel Gustafson,SWE,MF,Häcken,1995,{'2023-2024': ['Europa League']}
Simon Gustafson,SWE,"MF,FW",Häcken,1995,{'2023-2024': ['Europa League']}
Viktor Gyökeres,SWE,FW,Sporting CP,1998,"{'2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
El Hadji Diouf,SEN,DF,Slavia Prague,2004,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Anders Hagelskjær,DEN,DF,Molde,1997,{'2023-2024': ['Europa League']}
Ilay Hajaj,ISR,"FW,DF",Maccabi Haifa,2001,{'2023-2024': ['Europa League']}
Ehsan Hajsafi,IRN,DF,AEK Athens,1990,"{'2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Johan Hammar,SWE,DF,Häcken,1994,{'2023-2024': ['Europa League']}
Lukáš Haraslín,SVK,"MF,FW",Sparta Prague,1996,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League'], 'EURO 2024': ['EURO 2024']}"
Jorrel Hato,NED,DF,Ajax,2006,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Eirik Haugan,NOR,DF,Molde,1997,{'2023-2024': ['Europa League']}
Kristoffer Haugen,NOR,DF,Molde,1994,{'2023-2024': ['Europa League']}
Elias Havel,AUT,"FW,DF",LASK,2003,{'2023-2024': ['Europa League']}
Eirik Hestad,NOR,MF,Molde,1995,{'2023-2024': ['Europa League']}
Santiago Hezze,ARG,MF,Olympiacos,2001,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Tomáš Holeš,CZE,DF,Slavia Prague,1993,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Sascha Horvath,AUT,MF,LASK,1996,{'2023-2024': ['Europa League']}
Even Hovland,NOR,DF,Häcken,1989,{'2023-2024': ['Europa League']}
Jakub Hromada,SVK,MF,Slavia Prague,1996,{'2023-2024': ['Europa League']}
Srđan Hrstić,SRB,FW,Häcken,2003,{'2023-2024': ['Europa League']}
Vicente Iborra,ESP,MF,Olympiacos,1988,{'2023-2024': ['Europa League']}
Ogbu Igoh,NGA,DF,Slavia Prague,2000,{'2023-2024': ['Europa League']}
Veljko Ilic,SRB,GK,TSC Bačka Top,2003,{'2023-2024': ['Europa League']}
Fotis Ioannidis,GRE,FW,Panathinaikos,2000,{'2023-2024': ['Europa League']}
Aleksei Isayev,AZE,MF,Qarabağ,1995,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Abdulrazaq Ishaq,NGA,DF,Häcken,2002,{'2023-2024': ['Europa League']}
Ken Izekor,GER,DF,Leverkusen,2007,{'2023-2024': ['Europa League']}
Mahmoud Jaber,ISR,MF,Maccabi Haifa,1999,{'2023-2024': ['Europa League']}
Seedy Jatta,NOR,FW,Sturm Graz,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Tin Jedvaj,CRO,DF,Panathinaikos,1995,{'2023-2024': ['Europa League']}
João Pedro,BRA,FW,Brighton,2001,"{'2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League']}"
Max Johnston,SCO,DF,Sturm Graz,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Saša Jovanović,SRB,FW,TSC Bačka Top,1991,{'2023-2024': ['Europa League']}
Branko Jovičić,SRB,MF,LASK,1993,{'2023-2024': ['Europa League']}
Juankar,ESP,DF,Panathinaikos,1990,{'2023-2024': ['Europa League']}
Leon-Robin Juberg-Hovland,NOR,MF,Molde,2004,{'2023-2024': ['Europa League']}
Juninho,BRA,FW,Qarabağ,1996,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Matěj Jurásek,CZE,MF,Slavia Prague,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Václav Jurečka,CZE,"FW,MF",Slavia Prague,1994,{'2023-2024': ['Europa League']}
Jens Jønsson,DEN,MF,AEK Athens,1993,{'2023-2024': ['Europa League']}
Ayoub El Kaabi,MAR,FW,Olympiacos,1993,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Kaan Kairinen,FIN,MF,Sparta Prague,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Ola Kamara,NOR,FW,Häcken,1989,{'2023-2024': ['Europa League']}
Maor Kandil,ISR,"DF,MF",Maccabi Haifa,1993,{'2023-2024': ['Europa League']}
Adam Karabec,CZE,"FW,MF",Sparta Prague,2003,{'2023-2024': ['Europa League']}
Jacob Karlstrom,NOR,GK,Molde,1997,{'2023-2024': ['Europa League']}
Shareef Keouf,ISR,GK,Maccabi Haifa,2001,{'2023-2024': ['Europa League']}
Hamidou Keyta,FRA,"FW,MF",Qarabağ,1994,{'2023-2024': ['Europa League']}
Anan Khalaili,ISR,"FW,MF",Maccabi Haifa,2004,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League', 'Belgian Pro League']}"
Eric Kitolano,NOR,"FW,MF",Molde,1997,{'2023-2024': ['Europa League']}
Sonny Kittel,GER,"FW,MF",RKS Raków,1993,{'2023-2024': ['Europa League']}
Vladyslav Kocherhin,UKR,"MF,FW",RKS Raków,1996,{'2023-2024': ['Europa League']}
Koba Koindredi,FRA,MF,Sporting CP,2001,"{'2023-2024': ['Primeira Liga', 'Europa League']}"
Aleksandr Kokorin,RUS,"FW,MF",Aris Limassol FC,1991,{'2023-2024': ['Europa League']}
Moussa Koné,SEN,FW,LASK,1996,{'2023-2024': ['Europa League']}
Giannis Kotsiras,GRE,DF,Panathinaikos,1992,{'2023-2024': ['Europa League']}
Vladen Kovačević,BIH,GK,RKS Raków,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Primeira Liga']}"
Matej Kovar,CZE,GK,Leverkusen,2000,"{'2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Ladislav Krejčí,CZE,DF,Sparta Prague,1999,"{'2023-2024': ['Europa League'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Vukašin Krstić,SRB,DF,TSC Bačka Top,2003,{'2023-2024': ['Europa League']}
Jan Kuchta,CZE,"FW,MF",Sparta Prague,1997,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Dereck Kutesa,SUI,"FW,MF",Servette FC,1997,{'2023-2024': ['Europa League']}
Berkan Kutlu,TUR,DF,Galatasaray,1998,"{'2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Europa League']}"
Nikola Kuveljić,SRB,MF,TSC Bačka Top,1997,{'2023-2024': ['Europa League']}
Gael Lafont,FRA,MF,Marseille,2006,{'2023-2024': ['Europa League']}
Mathis Lambourde,FRA,FW,Rennes,2006,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Serie A']}"
Tobias Lawal,AUT,GK,LASK,2000,{'2023-2024': ['Europa League']}
Tom Lawrence,WAL,MF,Rangers,1994,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Amor Layouni,TUN,FW,Häcken,1992,{'2023-2024': ['Europa League']}
Ben Lederman,POL,MF,RKS Raków,2000,{'2023-2024': ['Europa League']}
Samba Lélé Diba,SEN,MF,Servette FC,2003,{'2023-2024': ['Europa League']}
Martin Linnes,NOR,DF,Molde,1991,{'2023-2024': ['Europa League']}
Marin Ljubicic,CRO,FW,LASK,2002,{'2023-2024': ['Europa League']}
Yuri Lodygin,RUS,GK,Panathinaikos,1990,{'2023-2024': ['Europa League']}
Niklas Lomb,GER,GK,Leverkusen,1993,{'2023-2024': ['Europa League']}
Felix Luckeneder,AUT,DF,LASK,1994,{'2023-2024': ['Europa League']}
Valgeir Lunddal Friðriksson,ISL,DF,Häcken,2001,{'2023-2024': ['Europa League']}
Henrique Luvannor,MDA,"FW,MF",Sheriff Tiraspol,1990,{'2023-2024': ['Europa League']}
Mathias Løvik,NOR,DF,Molde,2003,{'2023-2024': ['Europa League']}
Théo Magnin,SUI,DF,Servette FC,2003,{'2023-2024': ['Europa League']}
Hörður Magnússon,ISL,DF,Panathinaikos,1993,{'2023-2024': ['Europa League']}
Frank Magri,CMR,"FW,MF",Toulouse,1999,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Jordy Makengo,FRA,DF,Freiburg,2001,"{'2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Daniel Mancini,ARG,"FW,MF",Panathinaikos,1996,{'2023-2024': ['Europa League']}
Aleš Mandous,CZE,GK,Slavia Prague,1992,{'2023-2024': ['Europa League']}
Mattia Mannini,ITA,DF,Roma,2006,{'2023-2024': ['Europa League']}
Petros Mantalos,GRE,MF,AEK Athens,1991,{'2023-2024': ['Europa League']}
Ar'jany Martha,NED,"FW,DF",Ajax,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Belgian Pro League']}"
Lukáš Masopust,CZE,"DF,MF",Slavia Prague,1993,{'2023-2024': ['Europa League']}
Mihlali Mayambela,RSA,"FW,MF",Aris Limassol FC,1996,{'2023-2024': ['Europa League']}
Bradley Mazikou,CGO,DF,Servette FC,1996,{'2023-2024': ['Europa League']}
Ross McCausland,NIR,FW,Rangers,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
James McConnell,ENG,"MF,FW",Liverpool,2004,"{'2023-2024': ['Premier League', 'Europa League']}"
Cole McKinnon,SCO,FW,Rangers,2003,{'2023-2024': ['Europa League']}
Jakov Medić,CRO,MF,Ajax,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Bundesliga']}"
Leonardo Mendicino,ITA,MF,Atalanta,2006,"{'2023-2024': ['Europa League', 'Serie A']}"
Georges Mikautadze,GEO,"DF,MF",Ajax,2000,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Europa League', 'Ligue 1'], 'EURO 2024': ['EURO 2024']}"
Uroš Milovanović,SRB,FW,TSC Bačka Top,2000,{'2023-2024': ['Europa League']}
Martin Mirchevski,MKD,"MF,FW",TSC Bačka Top,1997,{'2023-2024': ['Europa League']}
Gerasimos Mitoglou,GRE,DF,AEK Athens,1999,{'2023-2024': ['Europa League']}
Filip Mladenović,SRB,DF,Panathinaikos,1991,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
