Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Idan Nachmias,ISR,DF,Maccabi Tel Aviv,27-230,1997,1,90,90,33.3,1.0,1,90,1,0,,2,2.25,0,2,-2,-2.00,-1.00,2.3,1.5,+0.7,+0.73,+1.86
Marek Naskos,CZE,MF,Slavia Prague,17-126,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Fran Navarro,ESP,FW,Porto,26-273,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Youssouf Ndayishimiye,BDI,DF,Nice,26-006,1998,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,2,5,-3,-1.50,-0.50,2.3,2.6,-0.3,-0.16,+0.40
Rostand Ndjiki,CMR,FW,FK Rīgas FS,20-302,2004,2,70,35,25.9,0.8,1,25,0,1,45,1,0.33,0,3,-3,-3.86,-3.41,0.3,1.8,-1.4,-1.86,-1.16
Tanguy Ndombele,FRA,MF,Nice,27-310,1996,2,45,23,16.7,0.5,0,,0,2,23,0,0.50,0,0,0,0.00,+1.60,0.2,0.3,0.0,-0.09,+0.25
Cher Ndour,ITA,MF,Beşiktaş,20-098,2004,3,193,64,71.5,2.1,2,83,1,1,27,0,1.40,1,3,-2,-0.93,+2.57,3.5,5.8,-2.2,-1.05,-0.44
Victor Nelsson,DEN,MF,Galatasaray,26-019,1998,1,2,2,0.7,0.0,0,,0,1,2,2,3.00,0,1,-1,-45.00,-46.34,0.0,0.3,-0.3,-13.12,-14.44
Ruslan Neshcheret,UKR,GK,Dynamo Kyiv,22-285,2002,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,1,-1,-1.00,+1.50,0.7,2.3,-1.5,-1.54,-0.05
Siyabonga Ngezana,RSA,DF,FCSB,27-110,1997,1,90,90,33.3,1.0,1,90,1,0,,0,1.33,0,4,-4,-4.00,-6.00,0.4,1.8,-1.4,-1.41,-1.51
Sikou Niakaté,MLI,DF,Braga,25-115,1999,3,246,82,91.1,2.7,3,82,2,0,,0,1.86,3,5,-2,-0.73,+3.02,6.3,3.5,+2.8,+1.04,-0.44
Moussa Niakhate,SEN,DF,Lyon,28-239,1996,2,138,69,51.1,1.5,1,90,1,1,48,0,1.50,2,1,+1,+0.65,-1.39,4.2,2.0,+2.3,+1.48,+2.13
Ousseynou Niang,SEN,"DF,FW",Union SG,23-021,2001,3,244,81,90.4,2.7,3,81,1,0,,0,0.33,1,3,-2,-0.74,-0.74,4.4,4.1,+0.3,+0.09,+1.05
Villads Nielsen,DEN,DF,Bodø/Glimt,19-278,2005,3,160,53,59.3,1.8,2,75,1,1,10,0,2.33,4,2,+2,+1.13,+1.13,3.2,3.8,-0.7,-0.37,+0.85
Niels Nkounkou,FRA,DF,Eint Frankfurt,24-001,2000,3,265,88,98.1,2.9,3,88,2,0,,0,2.33,7,3,+4,+1.36,+19.36,4.7,3.6,+1.1,+0.37,+9.14
Kristian Nökkvi Hlynsson,ISL,MF,Ajax,20-284,2004,2,66,33,24.4,0.7,1,41,0,1,25,0,2.33,2,0,+2,+2.73,+0.52,1.9,0.5,+1.4,+1.92,+0.65
Jonatás Noro,POR,DF,Braga,19-116,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Tijjani Noslin,NED,MF,Lazio,25-118,1999,1,3,3,1.1,0.0,0,,0,1,3,0,3.00,0,0,0,0.00,-2.70,0.1,0.0,+0.1,+3.32,+1.65
Andreas Ntoi,GRE,DF,Olympiacos,21-274,2003,2,27,14,10.0,0.3,0,,0,2,14,1,1.50,0,0,0,0.00,-0.74,0.0,0.2,-0.2,-0.72,-0.88
Ernest Nuamah,GHA,FW,Lyon,21-001,2003,3,167,56,61.9,1.9,2,76,0,1,16,0,2.00,2,1,+1,+0.54,-2.08,4.2,2.9,+1.3,+0.72,+0.73
Unai Núñez,ESP,DF,Athletic Club,27-277,1997,1,11,11,4.1,0.1,0,,0,1,11,2,1.00,1,0,+1,+8.18,+7.49,0.3,0.1,+0.3,+2.07,+1.93
Atakan Nuri Ordu,,GK,Galatasaray,19-218,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
