Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Fabiano,BRA,DF,Moreirense,24-238,2000,6.3,0,2,0,0.0,0.32,0.00,0.00,,25.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Claudio Falcão,BRA,"MF,DF",Farense,30-127,1994,9.7,0,15,1,6.7,1.55,0.10,0.00,0.00,22.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5
Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,27-219,1997,1.5,0,1,0,0.0,0.67,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Martim Fernandes,POR,DF,Porto,18-294,2006,6.1,0,2,1,50.0,0.33,0.16,0.00,0.00,21.8,0,0,0,0.5,0.5,0.23,-0.5,-0.5
Mateus Fernandes,POR,"FW,MF",Sporting CP,20-120,2004,0.3,0,1,0,0.0,3.46,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Roger Fernandes,GNB,"FW,MF",Braga,18-352,2005,6.0,1,13,6,46.2,2.15,0.99,0.08,0.17,18.8,0,0,0,0.9,0.9,0.07,+0.1,+0.1
Rúben Fernandes,POR,DF,Gil Vicente FC,38-185,1986,9.8,0,5,2,40.0,0.51,0.20,0.00,0.00,10.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Roberto Férnandez,ESP,FW,Braga,22-127,2002,4.4,1,12,3,25.0,2.73,0.68,0.08,0.33,13.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1
João Ferreira Barros,POR,"MF,FW",Boavista,18-302,2006,1.1,0,2,1,50.0,1.84,0.92,0.00,0.00,15.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Filipe Ferreira,POR,DF,Boavista,34-041,1990,9.5,0,2,1,50.0,0.21,0.11,0.00,0.00,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Fernando Ferreira Fonseca,POR,DF,AVS Futebol,27-238,1997,6.3,0,1,0,0.0,0.16,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.01,0.0,0.0
João Ferreira,POR,DF,Braga,23-230,2001,5.3,0,1,0,0.0,0.19,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Marcelo dos Santos Ferreira,BRA,DF,Moreirense,35-103,1989,10.0,0,3,0,0.0,0.30,0.00,0.00,,7.1,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Pedro Ferreira,POR,MF,Santa Clara,26-307,1998,8.6,0,8,1,12.5,0.93,0.12,0.00,0.00,24.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Tiago Ferreira,POR,FW,Estrela,22-234,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Figueira,POR,GK,Estoril,26-110,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tiago Fonseca Morais,POR,"FW,MF",Rio Ave,21-065,2003,5.3,0,15,5,33.3,2.85,0.95,0.00,0.00,19.9,0,0,0,1.2,1.2,0.08,-1.2,-1.2
José Fontán,ESP,DF,Arouca,24-270,2000,6.9,0,1,0,0.0,0.15,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1
José Fonte,POR,DF,Casa Pia,40-321,1983,6.0,0,2,1,50.0,0.33,0.17,0.00,0.00,8.1,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Lucas França,BRA,GK,Nacional,28-293,1996,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
André Franco,POR,"FW,MF",Porto,26-209,1998,1.1,0,1,0,0.0,0.94,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.03,0.0,0.0
Afonso freitas,POR,DF,Nacional,24-214,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Iván Fresneda,ESP,DF,Sporting CP,20-040,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Godfried Frimpong,NED,DF,Moreirense,25-109,1999,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kanya Fujimoto,JPN,"MF,FW",Gil Vicente FC,25-129,1999,9.0,5,16,5,31.3,1.79,0.56,0.25,0.80,19.6,3,1,1,2.2,1.4,0.09,+2.8,+2.6
Taichi Fukui,JPN,MF,Arouca,20-115,2004,9.4,0,6,0,0.0,0.64,0.00,0.00,,24.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Tiago Gabriel,POR,DF,Estrela,19-317,2004,4.9,0,2,0,0.0,0.41,0.00,0.00,,8.1,0,0,0,0.4,0.4,0.18,-0.4,-0.4
Galeno,BRA,"DF,FW",Porto,27-016,1997,7.9,8,23,12,52.2,2.92,1.52,0.17,0.33,21.5,0,4,4,6.4,3.3,0.14,+1.6,+0.7
Nino Galović,CRO,DF,Arouca,32-124,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
García,BRA,DF,Nacional,22-308,2002,9.0,0,4,2,50.0,0.44,0.22,0.00,0.00,26.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Fabrício Garcia,CPV,FW,Estoril,23-187,2001,6.0,0,8,1,12.5,1.34,0.17,0.00,0.00,18.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Santiago García,ESP,MF,Gil Vicente FC,23-070,2001,3.9,1,4,1,25.0,1.02,0.25,0.25,1.00,18.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Bruno Gaspar,ANG,DF,Vitória,31-200,1993,8.5,0,3,1,33.3,0.35,0.12,0.00,0.00,19.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mory Gbane,CIV,MF,Gil Vicente FC,23-318,2000,7.1,0,4,1,25.0,0.56,0.14,0.00,0.00,15.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3
