Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Adam Marušić,MNE,DF,Lazio,32-019,1992,2.9,10,3.49,9,1,0,0,0,0,2,0.70,2,0,0,0,0,0
Roei Mashpati,ISR,GK,Maccabi Tel Aviv,31-348,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giorgos Masouras,GRE,FW,Olympiacos,30-309,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arthur Masuaku,COD,DF,Beşiktaş,30-364,1993,3.0,5,1.67,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Clinton Mata,ANG,DF,Lyon,31-364,1992,2.5,4,1.62,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Igor Matanovic,CRO,FW,Eint Frankfurt,21-219,2003,2.5,5,2.03,5,0,0,0,0,0,1,0.41,1,0,0,0,0,0
Pape Matar Sarr,SEN,MF,Tottenham,22-052,2002,2.1,6,2.87,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matheus,BRA,GK,Braga,32-109,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nemanja Matić,SRB,MF,Lyon,36-096,1988,1.0,3,2.87,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jean Mattéo Bahoya,FRA,FW,Eint Frankfurt,19-182,2005,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Noussair Mazraoui,MAR,"DF,MF",Manchester Utd,26-357,1997,3.0,7,2.33,5,0,0,2,0,0,1,0.33,1,0,0,0,0,0
Kevin Mbabu,SUI,DF,Midtjylland,29-200,1995,2.7,5,1.88,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Ross McCausland,NIR,FW,Rangers,21-177,2003,0.4,2,5.63,0,0,1,0,1,0,2,5.63,0,0,1,0,1,0
Kevin Medina,COL,DF,Qarabağ,31-241,1993,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mexx Meerdink,NED,"FW,DF",AZ Alkmaar,21-104,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Brais Méndez,ESP,MF,Real Sociedad,27-303,1997,2.7,11,4.11,4,5,0,0,1,1,2,0.75,1,1,0,0,0,0
Antoine Mendy,FRA,DF,Nice,20-162,2004,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dries Mertens,BEL,MF,Galatasaray,37-183,1987,2.6,21,8.04,14,5,0,2,0,0,2,0.77,0,0,0,2,0,0
Giannis Michailidis,GRE,DF,PAOK,24-261,2000,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simion Michez,BEL,FW,Slavia Prague,22-270,2002,1.6,5,3.19,2,0,1,1,1,0,0,0.00,0,0,0,0,0,0
David Miculescu,ROU,FW,FCSB,23-187,2001,1.7,4,2.37,3,0,0,1,0,0,1,0.59,1,0,0,0,0,0
Sven Mijnans,NED,"MF,FW",AZ Alkmaar,24-241,2000,2.8,9,3.16,7,2,0,0,0,0,1,0.35,0,1,0,0,0,0
Georges Mikautadze,GEO,"FW,MF",Lyon,24-005,2000,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
August Mikkelsen,NOR,MF,Bodø/Glimt,24-012,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Max Moerstedt,GER,"FW,MF",Hoffenheim,,,1.2,5,4.33,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Jorthy Mokio,BEL,FW,Ajax,16-250,2008,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
