Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Dean Huiberts,NED,MF,Beerschot,24-170,2000,2.2,3,1.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Oh Hyeon-gyu,KOR,FW,Genk,23-204,2001,1.5,10,6.87,8,0,0,2,0,0,2,1.37,1,0,0,1,0,0
Hong Hyunseok,KOR,MF,Gent,25-139,1999,2.8,9,3.28,4,5,0,0,0,0,2,0.73,2,0,0,0,0,0
Mounaim El Idrissy,FRA,"DF,FW",Kortrijk,25-266,1999,3.4,6,1.77,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Chukwubuikem Ikwuemesi,NGA,FW,OH Leuven,23-089,2001,4.1,11,2.71,8,0,2,1,0,0,1,0.25,0,0,1,0,0,0
Atsuki Ito,JPN,MF,Gent,26-083,1998,5.6,17,3.02,14,1,1,1,0,0,1,0.18,0,0,0,1,0,0
Ryotaro Ito,JPN,MF,Sint-Truiden,26-270,1998,8.2,40,4.88,29,6,1,3,0,1,5,0.61,4,0,0,1,0,0
Franjo Ivanović,CRO,FW,Union SG,21-032,2003,4.7,24,5.06,13,0,5,5,1,0,3,0.63,1,0,1,1,0,0
Vincent Janssen,NED,FW,Antwerp,30-140,1994,11.8,31,2.87,25,0,2,3,1,0,5,0.46,4,0,0,1,0,0
Wolke Janssens,BEL,DF,Sint-Truiden,29-296,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ardon Jashari,SUI,MF,Club Brugge,22-095,2002,5.1,13,2.53,10,2,0,0,0,1,1,0.19,0,1,0,0,0,0
Edisson Jordanov,BUL,DF,Westerlo,31-147,1993,0.8,2,2.40,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Ferran Jutglà,ESP,"FW,MF",Club Brugge,25-275,1999,3.2,14,4.42,11,0,1,2,0,0,0,0.00,0,0,0,0,0,0
Mathias Jørgensen,DEN,DF,Anderlecht,34-193,1990,8.0,7,0.87,4,1,0,2,0,0,2,0.25,0,1,0,1,0,0
Elton Kabangu,BEL,"FW,MF",Union SG,26-268,1998,1.4,3,2.21,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Abdelkahar Kadri,ALG,MF,Kortrijk,24-131,2000,8.3,36,4.35,13,15,4,1,3,0,5,0.60,0,5,0,0,0,0
Emmanuel Kakou,CIV,DF,Cercle Brugge,19-125,2005,6.0,7,1.17,5,0,1,0,1,0,1,0.17,0,0,1,0,0,0
Ismaël Kandouss,MAR,MF,Gent,26-356,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Takuro Kaneko,JPN,"MF,FW",Kortrijk,27-095,1997,7.5,25,3.36,15,2,4,3,1,0,1,0.13,0,0,1,0,0,0
Konstantinos Karetsas,BEL,MF,Genk,16-349,2007,5.0,30,5.99,18,9,2,0,1,0,2,0.40,1,0,1,0,0,0
Joris Kayembe,COD,"DF,MF",Genk,30-086,1994,11.9,32,2.69,27,1,3,0,1,0,1,0.08,1,0,0,0,0,0
Charly Keita,FRA,FW,Beerschot,25-139,1999,6.4,9,1.63,5,0,2,0,2,0,1,0.18,0,0,1,0,0,0
Check Keita,FRA,DF,Charleroi,21-214,2003,5.6,3,0.53,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
