Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Mandela Keita,BEL,"MF,DF",Antwerp,22-176,2002,2.6,140,133,7,7,0,0,0,0,0,0,0,0,133,0,0
Gyrano Kerk,SUR,"FW,MF",Antwerp,28-336,1995,9.0,198,192,3,1,0,1,16,2,0,0,0,0,125,3,6
Anan Khalaili,ISR,"DF,FW",Union SG,20-060,2004,2.8,110,102,8,0,0,1,8,8,0,0,0,0,78,0,6
Bilal El Khannouss,MAR,MF,Genk,20-176,2004,0.8,46,40,5,2,2,0,4,0,1,0,0,0,32,1,4
Leo Kokubo,JPN,GK,Sint-Truiden,23-284,2001,9.0,336,248,88,20,0,1,0,0,0,0,0,0,242,0,1
Mory Konaté,GUI,MF,Mechelen,30-353,1993,1.0,30,28,2,2,0,0,0,0,0,0,0,0,26,0,0
Mohamed Koné,CIV,GK,Charleroi,22-240,2002,11.0,402,335,66,17,0,0,0,0,0,0,0,0,309,1,0
Josué Kongolo,BEL,DF,Genk,18-203,2006,0.8,56,54,2,1,0,0,0,1,0,0,0,0,50,0,0
Tolis Konstantopoulos,GRE,DF,Beerschot,22-092,2002,8.7,421,360,59,22,1,3,4,35,0,0,0,0,328,2,6
Ayouba Kosiah,LBR,"FW,DF",Beerschot,23-103,2001,2.3,35,31,4,0,0,0,0,0,0,0,0,0,23,0,0
Florian Krüger,GER,"FW,MF",Beerschot,25-263,1999,1.3,22,19,3,0,0,0,0,1,0,0,0,0,18,0,1
Léandre Kuavita,BEL,MF,Standard Liège,20-155,2004,7.0,131,129,2,1,0,0,3,0,0,0,0,0,81,0,3
Sven Kums,BEL,MF,Gent,36-250,1988,4.0,293,266,26,11,1,7,16,3,11,4,4,0,246,1,4
Hasan Kuruçay,,DF,OH Leuven,27-063,1997,3.5,169,157,12,8,0,1,0,0,0,0,0,0,155,0,3
Roman Květ,CZE,"MF,FW",Dender,26-321,1997,8.2,301,286,14,3,4,0,5,0,0,0,0,0,243,1,8
Grejohn Kyei,FRA,FW,Charleroi,29-082,1995,3.7,86,86,0,0,0,0,3,0,0,0,0,0,54,0,4
Grejohn Kyei,FRA,"FW,MF",Standard Liège,29-082,1995,2.4,37,36,1,0,1,0,0,0,0,0,0,0,25,0,1
Bram Lagae,BEL,DF,Kortrijk,20-293,2004,8.0,423,331,92,17,0,21,4,73,0,0,0,0,302,0,4
Hugo Lambotte,BEL,MF,Sint-Truiden,18-135,2006,0.4,23,23,0,0,0,0,0,0,0,0,0,0,18,0,0
Senne Lammens,BEL,GK,Antwerp,22-118,2002,12.0,451,374,75,16,0,0,0,0,0,0,0,0,351,2,1
Lion Lauberbach,GER,FW,Mechelen,26-261,1998,7.3,154,145,9,0,0,1,6,0,0,0,0,0,109,0,4
Henry Lawrence,ENG,DF,Standard Liège,23-042,2001,6.6,259,196,62,5,0,2,6,57,0,0,0,0,177,1,4
Theo Leoni,BEL,"MF,DF",Anderlecht,24-195,2000,9.2,660,615,44,22,5,2,17,8,8,4,0,0,573,1,3
Fedde Leysen,BEL,DF,Union SG,21-116,2003,7.8,500,425,75,11,0,5,4,64,0,0,0,0,408,0,3
